EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/16/2018	Date
TIME	LABEL	17:24:16	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-1.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	-8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-1.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-1.00000E-001	F	Final &E (V)
SCANRATE	QUANT	2.50000E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	2	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.02	-1.00027E-001	2.88532E-006	0.00000E+000	-1.00000E-001	7.75994E-004	10	...........
	1	0.04	-1.00606E-001	2.92699E-006	0.00000E+000	-1.00500E-001	7.79744E-004	10	...........
	2	0.06	-1.01023E-001	2.56865E-006	0.00000E+000	-1.01000E-001	7.92244E-004	10	...........
	3	0.08	-1.01555E-001	2.54364E-006	0.00000E+000	-1.01500E-001	7.79744E-004	10	...........
	4	0.1	-1.02163E-001	2.62698E-006	0.00000E+000	-1.02000E-001	7.77661E-004	10	...........
	5	0.12	-1.02547E-001	2.69365E-006	0.00000E+000	-1.02500E-001	7.74327E-004	10	...........
	6	0.14	-1.03080E-001	2.41031E-006	0.00000E+000	-1.03000E-001	7.72244E-004	10	...........
	7	0.16	-1.03620E-001	3.11867E-006	0.00000E+000	-1.03500E-001	7.93077E-004	10	...........
	8	0.18	-1.04057E-001	2.93533E-006	0.00000E+000	-1.04000E-001	7.82661E-004	10	...........
	9	0.2	-1.04604E-001	2.64365E-006	0.00000E+000	-1.04500E-001	7.82244E-004	10	...........
	10	0.22	-1.05073E-001	2.89366E-006	0.00000E+000	-1.05000E-001	7.93910E-004	10	...........
	11	0.24	-1.05578E-001	2.84366E-006	0.00000E+000	-1.05500E-001	7.90160E-004	10	...........
	12	0.26	-1.06105E-001	3.01866E-006	0.00000E+000	-1.06000E-001	7.94327E-004	10	...........
	13	0.28	-1.06538E-001	2.89366E-006	0.00000E+000	-1.06500E-001	7.83910E-004	10	...........
	14	0.3	-1.07074E-001	2.62698E-006	0.00000E+000	-1.07000E-001	7.91410E-004	10	...........
	15	0.32	-1.07578E-001	3.03533E-006	0.00000E+000	-1.07500E-001	7.91827E-004	10	...........
	16	0.34	-1.08059E-001	2.70198E-006	0.00000E+000	-1.08000E-001	7.81827E-004	10	...........
	17	0.36	-1.08605E-001	2.69365E-006	0.00000E+000	-1.08500E-001	7.87660E-004	10	...........
	18	0.38	-1.09031E-001	2.54364E-006	0.00000E+000	-1.09000E-001	7.86410E-004	10	...........
	19	0.4	-1.09552E-001	2.64365E-006	0.00000E+000	-1.09500E-001	7.83077E-004	10	...........
	20	0.42	-1.10179E-001	2.54364E-006	0.00000E+000	-1.10000E-001	7.79744E-004	10	...........
	21	0.44	-1.10502E-001	2.66032E-006	0.00000E+000	-1.10500E-001	7.80994E-004	10	...........
	22	0.46	-1.11060E-001	2.61865E-006	0.00000E+000	-1.11000E-001	7.85994E-004	10	...........
	23	0.48	-1.11620E-001	2.56865E-006	0.00000E+000	-1.11500E-001	7.77244E-004	10	...........
	24	0.5	-1.12057E-001	2.77699E-006	0.00000E+000	-1.12000E-001	7.78911E-004	10	...........
	25	0.52	-1.12602E-001	3.02700E-006	0.00000E+000	-1.12500E-001	7.90160E-004	10	...........
	26	0.54	-1.13014E-001	2.87699E-006	0.00000E+000	-1.13000E-001	7.89327E-004	10	...........
	27	0.56	-1.13599E-001	2.86866E-006	0.00000E+000	-1.13500E-001	8.00994E-004	10	...........
	28	0.58	-1.14143E-001	2.86866E-006	0.00000E+000	-1.14000E-001	7.93494E-004	10	...........
	29	0.6	-1.14492E-001	2.80199E-006	0.00000E+000	-1.14500E-001	7.73911E-004	10	...........
