EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/27/2018	Date
TIME	LABEL	19:48:27	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-2.00000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.005	-5.83030E-005	3.68535E-006	0.00000E+000	0.00000E+000	8.18493E-004	10	...........
	1	0.01	-6.14961E-004	3.75202E-006	0.00000E+000	-5.00023E-004	8.18493E-004	10	...........
	2	0.015	-1.07829E-003	3.95203E-006	0.00000E+000	-1.00005E-003	8.21827E-004	10	...........
	3	0.02	-1.58661E-003	3.75202E-006	0.00000E+000	-1.50001E-003	8.10160E-004	10	...........
	4	0.025	-2.12494E-003	3.08533E-006	0.00000E+000	-2.00003E-003	8.33493E-004	10	...........
	5	0.03	-2.56160E-003	3.68535E-006	0.00000E+000	-2.50000E-003	8.30160E-004	10	...........
	6	0.035	-3.11826E-003	3.81869E-006	0.00000E+000	-3.00002E-003	8.18493E-004	10	...........
	7	0.04	-3.59658E-003	4.08537E-006	0.00000E+000	-3.50004E-003	8.18493E-004	10	...........
	8	0.045	-4.06991E-003	3.98537E-006	0.00000E+000	-4.00001E-003	8.33493E-004	10	...........
	9	0.05	-4.61323E-003	3.81869E-006	0.00000E+000	-4.50003E-003	8.35160E-004	10	...........
	10	0.055	-5.08823E-003	3.88536E-006	0.00000E+000	-5.00005E-003	8.30160E-004	10	...........
	11	0.06	-5.57489E-003	4.05203E-006	0.00000E+000	-5.50002E-003	8.28493E-004	10	...........
	12	0.065	-6.18321E-003	3.85203E-006	0.00000E+000	-6.00004E-003	8.15160E-004	10	...........
	13	0.07	-6.54987E-003	3.61869E-006	0.00000E+000	-6.50001E-003	8.20160E-004	10	...........
	14	0.075	-7.06320E-003	3.81869E-006	0.00000E+000	-7.00003E-003	8.31826E-004	10	...........
	15	0.08	-7.70819E-003	3.88536E-006	0.00000E+000	-7.50005E-003	8.18493E-004	10	...........
	16	0.085	-8.02152E-003	4.01870E-006	0.00000E+000	-8.00002E-003	8.23493E-004	10	...........
	17	0.09	-8.61151E-003	3.95203E-006	0.00000E+000	-8.50004E-003	8.23493E-004	10	...........
	18	0.095	-9.10650E-003	4.11870E-006	0.00000E+000	-9.00000E-003	8.15160E-004	10	...........
	19	0.1	-9.58483E-003	4.35205E-006	0.00000E+000	-9.50003E-003	8.26826E-004	10	...........
	20	0.105	-1.01448E-002	3.75202E-006	0.00000E+000	-1.00001E-002	8.33493E-004	10	...........
	21	0.11	-1.04881E-002	3.91870E-006	0.00000E+000	-1.05000E-002	8.28493E-004	10	...........
	22	0.115	-1.11248E-002	3.85203E-006	0.00000E+000	-1.10000E-002	8.25160E-004	10	...........
	23	0.12	-1.16531E-002	3.65202E-006	0.00000E+000	-1.15000E-002	8.06827E-004	10	...........
	24	0.125	-1.20098E-002	3.85203E-006	0.00000E+000	-1.20000E-002	8.13493E-004	10	...........
	25	0.13	-1.25998E-002	3.71869E-006	0.00000E+000	-1.25000E-002	8.31826E-004	10	...........
	26	0.135	-1.31081E-002	4.05203E-006	0.00000E+000	-1.30000E-002	8.36826E-004	10	...........
	27	0.14	-1.35898E-002	3.71869E-006	0.00000E+000	-1.35000E-002	8.11827E-004	10	...........
	28	0.145	-1.41764E-002	3.81869E-006	0.00000E+000	-1.40000E-002	8.36826E-004	10	...........
	29	0.15	-1.45964E-002	4.18537E-006	0.00000E+000	-1.45000E-002	8.55159E-004	10	...........
