EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	1/16/2019	Date
TIME	LABEL	17:03:49	Time
NOTES	NOTES	1	&Notes...
	-0.5 to -1.1V vs ag/agcl,10mV/s
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-5.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	-1.10000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-5.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-5.00000E-001	F	Final &E (V)
SCANRATE	QUANT	9.99998E+000	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.05	-5.00091E-001	-7.67707E-007	0.00000E+000	-5.00000E-001	8.39867E-004	10	...........
	1	0.1	-5.00603E-001	-9.49775E-007	0.00000E+000	-5.00500E-001	8.39500E-004	10	...........
	2	0.15	-5.01084E-001	-1.07849E-006	0.00000E+000	-5.01000E-001	8.44068E-004	10	...........
	3	0.2	-5.01588E-001	-8.81083E-007	0.00000E+000	-5.01500E-001	8.42601E-004	10	...........
	4	0.25	-5.02155E-001	-7.67707E-007	0.00000E+000	-5.02000E-001	8.46902E-004	10	...........
	5	0.3	-5.02583E-001	-7.88382E-007	0.00000E+000	-5.02500E-001	8.44568E-004	10	...........
	6	0.35	-5.03082E-001	-9.24432E-007	0.00000E+000	-5.03000E-001	8.45869E-004	10	...........
	7	0.4	-5.03619E-001	-8.81083E-007	0.00000E+000	-5.03500E-001	8.49770E-004	10	...........
	8	0.45	-5.04058E-001	-8.89753E-007	0.00000E+000	-5.04000E-001	8.50137E-004	10	...........
	9	0.5	-5.04587E-001	-7.74376E-007	0.00000E+000	-5.04500E-001	8.49937E-004	10	...........
	10	0.55	-5.05083E-001	-6.98348E-007	0.00000E+000	-5.05000E-001	8.53838E-004	10	...........
	11	0.6	-5.05581E-001	-8.10390E-007	0.00000E+000	-5.05500E-001	8.46602E-004	10	...........
	12	0.65	-5.06096E-001	-1.03781E-006	0.00000E+000	-5.06000E-001	8.48169E-004	10	...........
	13	0.7	-5.06563E-001	-9.90457E-007	0.00000E+000	-5.06500E-001	8.47569E-004	10	...........
	14	0.75	-5.07091E-001	-6.69004E-007	0.00000E+000	-5.07000E-001	8.51437E-004	10	...........
	15	0.8	-5.07596E-001	-8.85751E-007	0.00000E+000	-5.07500E-001	8.51437E-004	10	...........
	16	0.85	-5.08046E-001	-8.77081E-007	0.00000E+000	-5.08000E-001	8.48036E-004	10	...........
	17	0.9	-5.08611E-001	-9.71116E-007	0.00000E+000	-5.08500E-001	8.44168E-004	10	...........
	18	0.95	-5.09078E-001	-1.08716E-006	0.00000E+000	-5.09000E-001	8.50237E-004	10	...........
	19	1	-5.09579E-001	-1.06515E-006	0.00000E+000	-5.09500E-001	8.50303E-004	10	...........
	20	1.05	-5.10153E-001	-9.89790E-007	0.00000E+000	-5.10000E-001	8.50070E-004	10	...........
	21	1.1	-5.10538E-001	-1.01713E-006	0.00000E+000	-5.10500E-001	8.47369E-004	10	...........
	22	1.15	-5.11093E-001	-1.10983E-006	0.00000E+000	-5.11000E-001	8.51637E-004	10	...........
	23	1.2	-5.11645E-001	-1.35726E-006	0.00000E+000	-5.11500E-001	8.48970E-004	10	...........
	24	1.25	-5.12084E-001	-1.52732E-006	0.00000E+000	-5.12000E-001	8.45935E-004	10	...........
	25	1.3	-5.12625E-001	-1.36126E-006	0.00000E+000	-5.12500E-001	8.49070E-004	10	...........
	26	1.35	-5.13117E-001	-1.30257E-006	0.00000E+000	-5.13000E-001	8.51270E-004	10	...........
	27	1.4	-5.13610E-001	-1.29724E-006	0.00000E+000	-5.13500E-001	8.48236E-004	10	...........
	28	1.45	-5.14144E-001	-1.41862E-006	0.00000E+000	-5.14000E-001	8.49036E-004	10	...........
	29	1.5	-5.14577E-001	-1.23255E-006	0.00000E+000	-5.14500E-001	8.49770E-004	10	...........
	30	1.55	-5.15128E-001	-9.71116E-007	0.00000E+000	-5.15000E-001	8.48536E-004	10	...........
	31	1.6	-5.15625E-001	-1.09983E-006	0.00000E+000	-5.15500E-001	8.49637E-004	10	...........
	32	1.65	-5.16071E-001	-1.12117E-006	0.00000E+000	-5.16000E-001	8.49637E-004	10	...........
	33	1.7	-5.16618E-001	-1.46397E-006	0.00000E+000	-5.16500E-001	8.53104E-004	10	...........
	34	1.75	-5.17091E-001	-1.19920E-006	0.00000E+000	-5.17000E-001	8.49870E-004	10	...........
	35	1.8	-5.17587E-001	-1.20854E-006	0.00000E+000	-5.17500E-001	8.50403E-004	10	...........
	36	1.85	-5.18173E-001	-1.19720E-006	0.00000E+000	-5.18000E-001	8.51937E-004	10	...........
	37	1.9	-5.18578E-001	-1.00980E-006	0.00000E+000	-5.18500E-001	8.52504E-004	10	...........
	38	1.95	-5.19092E-001	-1.04581E-006	0.00000E+000	-5.19000E-001	8.50503E-004	10	...........
	39	2	-5.19680E-001	-1.09916E-006	0.00000E+000	-5.19500E-001	8.50237E-004	10	...........
	40	2.05	-5.20043E-001	-1.08783E-006	0.00000E+000	-5.20000E-001	8.52504E-004	10	...........
	41	2.1	-5.20602E-001	-1.00313E-006	0.00000E+000	-5.20500E-001	8.47502E-004	10	...........
	42	2.15	-5.21085E-001	-8.26396E-007	0.00000E+000	-5.21000E-001	8.48036E-004	10	...........
	43	2.2	-5.21609E-001	-8.49071E-007	0.00000E+000	-5.21500E-001	8.43535E-004	10	...........
	44	2.25	-5.22158E-001	-7.96385E-007	0.00000E+000	-5.22000E-001	8.44035E-004	10	...........
	45	2.3	-5.22502E-001	-8.82416E-007	0.00000E+000	-5.22500E-001	8.44735E-004	10	...........
	46	2.35	-5.23150E-001	-8.65077E-007	0.00000E+000	-5.23000E-001	8.49103E-004	10	...........
	47	2.4	-5.23650E-001	-9.83787E-007	0.00000E+000	-5.23500E-001	8.50503E-004	10	...........
	48	2.45	-5.24043E-001	-8.48404E-007	0.00000E+000	-5.24000E-001	8.47002E-004	10	...........
	49	2.5	-5.24606E-001	-1.03314E-006	0.00000E+000	-5.24500E-001	8.45635E-004	10	...........
	50	2.55	-5.25101E-001	-9.57111E-007	0.00000E+000	-5.25000E-001	8.47703E-004	10	...........
	51	2.6	-5.25599E-001	-9.15762E-007	0.00000E+000	-5.25500E-001	8.49103E-004	10	...........
	52	2.65	-5.26157E-001	-1.01713E-006	0.00000E+000	-5.26000E-001	8.45535E-004	10	...........
	53	2.7	-5.26597E-001	-9.73784E-007	0.00000E+000	-5.26500E-001	8.51304E-004	10	...........
	54	2.75	-5.27091E-001	-9.77785E-007	0.00000E+000	-5.27000E-001	8.51737E-004	10	...........
	55	2.8	-5.27642E-001	-8.82416E-007	0.00000E+000	-5.27500E-001	8.51804E-004	10	...........
	56	2.85	-5.28085E-001	-8.04388E-007	0.00000E+000	-5.28000E-001	8.49136E-004	10	...........
	57	2.9	-5.28595E-001	-8.46403E-007	0.00000E+000	-5.28500E-001	8.52137E-004	10	...........
	58	2.95	-5.29100E-001	-7.98385E-007	0.00000E+000	-5.29000E-001	8.44568E-004	10	...........
	59	3	-5.29590E-001	-1.01647E-006	0.00000E+000	-5.29500E-001	8.47102E-004	10	...........
	60	3.05	-5.30114E-001	-1.03781E-006	0.00000E+000	-5.30000E-001	8.44435E-004	10	...........
	61	3.1	-5.30587E-001	-8.77081E-007	0.00000E+000	-5.30500E-001	8.45168E-004	10	...........
	62	3.15	-5.31107E-001	-9.61112E-007	0.00000E+000	-5.31000E-001	8.46502E-004	10	...........
	63	3.2	-5.31606E-001	-1.02714E-006	0.00000E+000	-5.31500E-001	8.46469E-004	10	...........
	64	3.25	-5.32067E-001	-7.40364E-007	0.00000E+000	-5.32000E-001	8.46669E-004	10	...........
	65	3.3	-5.32613E-001	-8.56407E-007	0.00000E+000	-5.32500E-001	8.45602E-004	10	...........
