time(s),voltage(mV),current(A)
0,317.5608967,4.02653E-06
4,277.5608967,1.07374E-05
8,237.5608967,2.14748E-05
10,217.5608967,3.22122E-05
12,197.5608967,4.69762E-05
14,177.5608967,6.71089E-05
16,157.5608967,9.79789E-05
18,137.5608967,0.000139586
20,117.5608967,0.000194616
22,97.5608967,0.000267093
24,77.5608967,0.000354335
25,67.5608967,0.000402653
26,57.5608967,0.000452314
27,47.5608967,0.00049929
28,37.5608967,0.000544924
29,27.5608967,0.000586531
30,17.5608967,0.000620086
31,7.560896703,0.000644245
32,-2.439103297,0.000660351
33,-12.4391033,0.00066572
33.068,-13.1191033,0.000665451
34,-22.4391033,0.000661693
35,-32.4391033,0.000650956
36,-42.4391033,0.000633508
37,-52.4391033,0.000613375
38,-62.4391033,0.0005919
39,-72.4391033,0.000567741
40,-82.4391033,0.000544924
42,-102.4391033,0.000501974
46,-142.4391033,0.000433523
