time(s),voltage(mV),current(A)
0,220,0.000108043
2,200,0.000240096
4,180,0.000504201
6,160,0.001008403
7,150,0.001404561
7.5,145,0.001656662
8,140,0.001920767
8.5,135,0.002220887
9,130,0.002533012
9.5,125,0.002881151
10,120,0.00322929
10.5,115,0.003577429
11,110,0.003937573
11.5,105,0.004201679
12,100,0.004561823
12.5,95,0.004801919
13,90,0.005018005
13.5,85,0.005186072
14,80,0.005294115
14.5,75,0.005342134
14.85,71.5,0.005357741
15,70,0.005354139
15.5,65,0.00530612
16,60,0.005258101
17,50,0.005054019
18,40,0.004789914
20,20,0.004237693
22,0,0.003745497
24,-20,0.003361343
27,-50,0.002941175
