EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	8/30/2018	Date
TIME	LABEL	13:28:53	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-8.82581E-005	1.99197E-006	0.00000E+000	2.98023E-008	8.28662E-004	10	...........
	1	0.16	7.94225E-003	3.74074E-006	0.00000E+000	8.00002E-003	8.28724E-004	10	...........
	2	0.24	1.58973E-002	4.38339E-006	0.00000E+000	1.60000E-002	8.23432E-004	10	...........
	3	0.32	2.38828E-002	5.82750E-006	0.00000E+000	2.40000E-002	8.22265E-004	10	...........
	4	0.4	3.18967E-002	7.07322E-006	0.00000E+000	3.20000E-002	8.24411E-004	10	...........
	5	0.48	3.98808E-002	8.39980E-006	0.00000E+000	4.00000E-002	8.23286E-004	10	...........
	6	0.56	4.78848E-002	9.81765E-006	0.00000E+000	4.80000E-002	8.20619E-004	10	...........
	7	0.64	5.59149E-002	1.06041E-005	0.00000E+000	5.60000E-002	8.15993E-004	10	...........
	8	0.72	6.39537E-002	1.10479E-005	0.00000E+000	6.40000E-002	8.22827E-004	10	...........
	9	0.8	7.18962E-002	1.11213E-005	0.00000E+000	7.20000E-002	8.18410E-004	10	...........
	10	0.88	7.98937E-002	1.12530E-005	0.00000E+000	8.00000E-002	8.18181E-004	10	...........
	11	0.96	8.79462E-002	1.13126E-005	0.00000E+000	8.80000E-002	8.20098E-004	10	...........
	12	1.04	9.59443E-002	1.12463E-005	0.00000E+000	9.60000E-002	8.18847E-004	10	...........
	13	1.12	1.03908E-001	1.11413E-005	0.00000E+000	1.04000E-001	8.23182E-004	10	...........
	14	1.2	1.11942E-001	1.11596E-005	0.00000E+000	1.12000E-001	8.22473E-004	10	...........
	15	1.28	1.19905E-001	1.10138E-005	0.00000E+000	1.20000E-001	8.29391E-004	10	...........
	16	1.36	1.27883E-001	1.09133E-005	0.00000E+000	1.28000E-001	8.30204E-004	10	...........
	17	1.44	1.35925E-001	1.07683E-005	0.00000E+000	1.36000E-001	8.27162E-004	10	...........
	18	1.52	1.43883E-001	1.09000E-005	0.00000E+000	1.44000E-001	8.28433E-004	10	...........
	19	1.6	1.51893E-001	1.10546E-005	0.00000E+000	1.52000E-001	8.23036E-004	10	...........
	20	1.68	1.59927E-001	1.09792E-005	0.00000E+000	1.60000E-001	8.20952E-004	10	...........
	21	1.76	1.67886E-001	1.10059E-005	0.00000E+000	1.68000E-001	8.17097E-004	10	...........
	22	1.84	1.75895E-001	1.10059E-005	0.00000E+000	1.76000E-001	8.18827E-004	10	...........
	23	1.92	1.83915E-001	1.11492E-005	0.00000E+000	1.84000E-001	8.25557E-004	10	...........
	24	2	1.91944E-001	1.10600E-005	0.00000E+000	1.92000E-001	8.18972E-004	10	...........
	25	2.08	1.99906E-001	1.09454E-005	0.00000E+000	2.00000E-001	8.24411E-004	10	...........
	26	2.16	2.07902E-001	1.10834E-005	0.00000E+000	2.08000E-001	8.24807E-004	10	...........
	27	2.24	2.15947E-001	1.12551E-005	0.00000E+000	2.16000E-001	8.29495E-004	10	...........
	28	2.32	2.23905E-001	1.13297E-005	0.00000E+000	2.24000E-001	8.33684E-004	10	...........
	29	2.4	2.31886E-001	1.14235E-005	0.00000E+000	2.32000E-001	8.28766E-004	10	...........
	30	2.48	2.39923E-001	1.14364E-005	0.00000E+000	2.40000E-001	8.23973E-004	10	...........
