EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/16/2018	Date
TIME	LABEL	11:26:39	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-5.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	4.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-5.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-5.00000E-001	F	Final &E (V)
SCANRATE	QUANT	2.50000E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	2	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.02	-5.00190E-001	-9.78768E-005	0.00000E+000	-5.00000E-001	8.37243E-004	10	...........
	1	0.04	-4.99700E-001	-9.71767E-005	0.00000E+000	-4.99500E-001	8.33076E-004	10	...........
	2	0.06	-4.99191E-001	-9.72601E-005	0.00000E+000	-4.99000E-001	8.34326E-004	10	...........
	3	0.08	-4.98587E-001	-9.71601E-005	0.00000E+000	-4.98500E-001	8.36410E-004	10	...........
	4	0.1	-4.98177E-001	-9.73684E-005	0.00000E+000	-4.98000E-001	8.43910E-004	10	...........
	5	0.12	-4.97600E-001	-9.71934E-005	0.00000E+000	-4.97500E-001	8.39326E-004	10	...........
	6	0.14	-4.97224E-001	-9.69601E-005	0.00000E+000	-4.97000E-001	8.40993E-004	10	...........
	7	0.16	-4.96644E-001	-9.69017E-005	0.00000E+000	-4.96500E-001	8.41826E-004	10	...........
	8	0.18	-4.96086E-001	-9.66017E-005	0.00000E+000	-4.96000E-001	8.38076E-004	10	...........
	9	0.2	-4.95765E-001	-9.67351E-005	0.00000E+000	-4.95500E-001	8.32660E-004	10	...........
	10	0.22	-4.95159E-001	-9.61934E-005	0.00000E+000	-4.95000E-001	8.53076E-004	10	...........
	11	0.24	-4.94636E-001	-9.61600E-005	0.00000E+000	-4.94500E-001	8.40160E-004	10	...........
	12	0.26	-4.94210E-001	-9.60934E-005	0.00000E+000	-4.94000E-001	8.33493E-004	10	...........
	13	0.28	-4.93634E-001	-9.60100E-005	0.00000E+000	-4.93500E-001	8.44743E-004	10	...........
	14	0.3	-4.93121E-001	-9.61100E-005	0.00000E+000	-4.93000E-001	8.37660E-004	10	...........
	15	0.32	-4.92658E-001	-9.59600E-005	0.00000E+000	-4.92500E-001	8.39743E-004	10	...........
	16	0.34	-4.92140E-001	-9.60850E-005	0.00000E+000	-4.92000E-001	8.35993E-004	10	...........
	17	0.36	-4.91697E-001	-9.59017E-005	0.00000E+000	-4.91500E-001	8.19327E-004	10	...........
	18	0.38	-4.91178E-001	-9.57184E-005	0.00000E+000	-4.91000E-001	8.34326E-004	10	...........
	19	0.4	-4.90666E-001	-9.56767E-005	0.00000E+000	-4.90500E-001	8.38493E-004	10	...........
	20	0.42	-4.90195E-001	-9.55767E-005	0.00000E+000	-4.90000E-001	8.29743E-004	10	...........
	21	0.44	-4.89653E-001	-9.56100E-005	0.00000E+000	-4.89500E-001	8.35993E-004	10	...........
	22	0.46	-4.89236E-001	-9.53100E-005	0.00000E+000	-4.89000E-001	8.35576E-004	10	...........
	23	0.48	-4.88693E-001	-9.52100E-005	0.00000E+000	-4.88500E-001	8.40160E-004	10	...........
	24	0.5	-4.88150E-001	-9.51767E-005	0.00000E+000	-4.88000E-001	8.38076E-004	10	...........
	25	0.52	-4.87756E-001	-9.48433E-005	0.00000E+000	-4.87500E-001	8.30993E-004	10	...........
	26	0.54	-4.87195E-001	-9.48017E-005	0.00000E+000	-4.87000E-001	8.40160E-004	10	...........
	27	0.56	-4.86677E-001	-9.47683E-005	0.00000E+000	-4.86500E-001	8.36826E-004	10	...........
	28	0.58	-4.86216E-001	-9.48350E-005	0.00000E+000	-4.86000E-001	8.35576E-004	10	...........
