EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/16/2018	Date
TIME	LABEL	17:39:02	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-1.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	-8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-1.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-1.00000E-001	F	Final &E (V)
SCANRATE	QUANT	2.49999E+002	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	2	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.002	-1.00013E-001	4.00203E-006	0.00000E+000	-1.00000E-001	8.01827E-004	10	...........
	1	0.004	-1.00613E-001	3.66869E-006	0.00000E+000	-1.00500E-001	7.85160E-004	10	...........
	2	0.006	-1.01017E-001	3.66869E-006	0.00000E+000	-1.01000E-001	7.85160E-004	10	...........
	3	0.008	-1.01554E-001	3.66869E-006	0.00000E+000	-1.01500E-001	8.05993E-004	10	...........
	4	0.01	-1.02129E-001	3.50201E-006	0.00000E+000	-1.02000E-001	7.89327E-004	10	...........
	5	0.012	-1.02579E-001	3.33534E-006	0.00000E+000	-1.02500E-001	7.93494E-004	10	...........
	6	0.014	-1.03079E-001	4.00203E-006	0.00000E+000	-1.03000E-001	8.01827E-004	10	...........
	7	0.016	-1.03633E-001	3.50201E-006	0.00000E+000	-1.03500E-001	8.18493E-004	10	...........
	8	0.018	-1.04046E-001	3.25200E-006	0.00000E+000	-1.04000E-001	8.01827E-004	10	...........
	9	0.02	-1.04604E-001	3.66869E-006	0.00000E+000	-1.04500E-001	8.18493E-004	10	...........
	10	0.022	-1.05092E-001	3.33534E-006	0.00000E+000	-1.05000E-001	7.89327E-004	10	...........
	11	0.024	-1.05592E-001	2.91866E-006	0.00000E+000	-1.05500E-001	7.93494E-004	10	...........
	12	0.026	-1.06133E-001	3.33534E-006	0.00000E+000	-1.06000E-001	8.05993E-004	10	...........
	13	0.028	-1.06538E-001	3.25200E-006	0.00000E+000	-1.06500E-001	7.76827E-004	10	...........
	14	0.03	-1.07088E-001	3.83536E-006	0.00000E+000	-1.07000E-001	7.89327E-004	10	...........
	15	0.032	-1.07596E-001	3.75202E-006	0.00000E+000	-1.07500E-001	8.05993E-004	10	...........
	16	0.034	-1.08071E-001	3.66869E-006	0.00000E+000	-1.08000E-001	8.05993E-004	10	...........
	17	0.036	-1.08592E-001	3.16867E-006	0.00000E+000	-1.08500E-001	7.76827E-004	10	...........
	18	0.038	-1.09058E-001	3.00200E-006	0.00000E+000	-1.09000E-001	7.93494E-004	10	...........
	19	0.04	-1.09562E-001	3.25200E-006	0.00000E+000	-1.09500E-001	7.89327E-004	10	...........
	20	0.042	-1.10208E-001	3.25200E-006	0.00000E+000	-1.10000E-001	8.01827E-004	10	...........
	21	0.044	-1.10496E-001	3.58535E-006	0.00000E+000	-1.10500E-001	8.10160E-004	10	...........
	22	0.046	-1.11092E-001	3.58535E-006	0.00000E+000	-1.11000E-001	8.01827E-004	10	...........
	23	0.048	-1.11667E-001	3.66869E-006	0.00000E+000	-1.11500E-001	8.01827E-004	10	...........
	24	0.05	-1.12029E-001	3.66869E-006	0.00000E+000	-1.12000E-001	8.01827E-004	10	...........
	25	0.052	-1.12617E-001	3.25200E-006	0.00000E+000	-1.12500E-001	7.64327E-004	10	...........
	26	0.054	-1.13008E-001	3.25200E-006	0.00000E+000	-1.13000E-001	7.97660E-004	10	...........
	27	0.056	-1.13604E-001	3.50201E-006	0.00000E+000	-1.13500E-001	8.05993E-004	10	...........
	28	0.058	-1.14154E-001	3.08533E-006	0.00000E+000	-1.14000E-001	8.01827E-004	10	...........
	29	0.06	-1.14483E-001	3.58535E-006	0.00000E+000	-1.14500E-001	8.01827E-004	10	...........
