EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/18/2018	Date
TIME	LABEL	23:12:26	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-6.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	-1.10000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-6.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-6.00000E-001	F	Final &E (V)
SCANRATE	QUANT	4.99999E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.01	-6.00005E-001	3.60202E-006	0.00000E+000	-6.00000E-001	8.34326E-004	10	...........
	1	0.02	-6.00597E-001	3.55202E-006	0.00000E+000	-6.00500E-001	8.27660E-004	10	...........
	2	0.03	-6.00987E-001	3.30201E-006	0.00000E+000	-6.01000E-001	8.20160E-004	10	...........
	3	0.04	-6.01584E-001	3.28534E-006	0.00000E+000	-6.01500E-001	8.25160E-004	10	...........
	4	0.05	-6.02097E-001	3.15200E-006	0.00000E+000	-6.02000E-001	8.25160E-004	10	...........
	5	0.06	-6.02578E-001	2.81866E-006	0.00000E+000	-6.02500E-001	8.29326E-004	10	...........
	6	0.07	-6.03076E-001	2.93533E-006	0.00000E+000	-6.03000E-001	8.20993E-004	10	...........
	7	0.08	-6.03582E-001	2.66865E-006	0.00000E+000	-6.03500E-001	8.25160E-004	10	...........
	8	0.09	-6.04071E-001	3.01866E-006	0.00000E+000	-6.04000E-001	8.26826E-004	10	...........
	9	0.1	-6.04600E-001	3.01866E-006	0.00000E+000	-6.04500E-001	8.20160E-004	10	...........
	10	0.11	-6.05080E-001	3.08533E-006	0.00000E+000	-6.05000E-001	8.19327E-004	10	...........
	11	0.12	-6.05580E-001	2.81866E-006	0.00000E+000	-6.05500E-001	8.20993E-004	10	...........
	12	0.13	-6.06152E-001	2.96866E-006	0.00000E+000	-6.06000E-001	8.14327E-004	10	...........
	13	0.14	-6.06580E-001	2.85199E-006	0.00000E+000	-6.06500E-001	8.27660E-004	10	...........
	14	0.15	-6.07070E-001	2.93533E-006	0.00000E+000	-6.07000E-001	8.24327E-004	10	...........
	15	0.16	-6.07600E-001	2.81866E-006	0.00000E+000	-6.07500E-001	8.25993E-004	10	...........
	16	0.17	-6.08065E-001	2.90199E-006	0.00000E+000	-6.08000E-001	8.18493E-004	10	...........
	17	0.18	-6.08582E-001	3.11867E-006	0.00000E+000	-6.08500E-001	8.22660E-004	10	...........
	18	0.19	-6.09054E-001	3.11867E-006	0.00000E+000	-6.09000E-001	8.15160E-004	10	...........
	19	0.2	-6.09574E-001	2.46864E-006	0.00000E+000	-6.09500E-001	8.15993E-004	10	...........
	20	0.21	-6.10077E-001	2.88532E-006	0.00000E+000	-6.10000E-001	8.26826E-004	10	...........
	21	0.22	-6.10542E-001	2.48531E-006	0.00000E+000	-6.10500E-001	8.30160E-004	10	...........
	22	0.23	-6.11068E-001	2.50198E-006	0.00000E+000	-6.11000E-001	8.22660E-004	10	...........
	23	0.24	-6.11592E-001	2.85199E-006	0.00000E+000	-6.11500E-001	8.28493E-004	10	...........
	24	0.25	-6.12035E-001	2.63532E-006	0.00000E+000	-6.12000E-001	8.10160E-004	10	...........
	25	0.26	-6.12601E-001	3.26867E-006	0.00000E+000	-6.12500E-001	8.17660E-004	10	...........
	26	0.27	-6.13041E-001	2.45197E-006	0.00000E+000	-6.13000E-001	8.18493E-004	10	...........
	27	0.28	-6.13561E-001	2.46864E-006	0.00000E+000	-6.13500E-001	8.20993E-004	10	...........
	28	0.29	-6.14167E-001	2.93533E-006	0.00000E+000	-6.14000E-001	8.20160E-004	10	...........
	29	0.3	-6.14550E-001	2.61865E-006	0.00000E+000	-6.14500E-001	8.27660E-004	10	...........
