EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	8/30/2018	Date
TIME	LABEL	13:57:57	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-1.27453E-004	1.81501E-005	0.00000E+000	2.98023E-008	8.36018E-004	10	...........
	1	0.16	7.89856E-003	2.08549E-005	0.00000E+000	8.00002E-003	8.36476E-004	10	...........
	2	0.24	1.59537E-002	2.39232E-005	0.00000E+000	1.60000E-002	8.38789E-004	10	...........
	3	0.32	2.39020E-002	2.69314E-005	0.00000E+000	2.40000E-002	8.37872E-004	10	...........
	4	0.4	3.19068E-002	3.01205E-005	0.00000E+000	3.20000E-002	8.34059E-004	10	...........
	5	0.48	3.99463E-002	3.42307E-005	0.00000E+000	4.00000E-002	8.33496E-004	10	...........
	6	0.56	4.79080E-002	3.82621E-005	0.00000E+000	4.80000E-002	8.31246E-004	10	...........
	7	0.64	5.59380E-002	4.31154E-005	0.00000E+000	5.60000E-002	8.35371E-004	10	...........
	8	0.72	6.39103E-002	4.90927E-005	0.00000E+000	6.40000E-002	8.32996E-004	10	...........
	9	0.8	7.19351E-002	5.46049E-005	0.00000E+000	7.20000E-002	8.36080E-004	10	...........
	10	0.88	7.99305E-002	6.13074E-005	0.00000E+000	8.00000E-002	8.34038E-004	10	...........
	11	0.96	8.78945E-002	6.88701E-005	0.00000E+000	8.80000E-002	8.37143E-004	10	...........
	12	1.04	9.59284E-002	7.70975E-005	0.00000E+000	9.60000E-002	8.42206E-004	10	...........
	13	1.12	1.03948E-001	8.59984E-005	0.00000E+000	1.04000E-001	8.43957E-004	10	...........
	14	1.2	1.11915E-001	9.57037E-005	0.00000E+000	1.12000E-001	8.40122E-004	10	...........
	15	1.28	1.19954E-001	1.06240E-004	0.00000E+000	1.20000E-001	8.41185E-004	10	...........
	16	1.36	1.27908E-001	1.18198E-004	0.00000E+000	1.28000E-001	8.36393E-004	10	...........
	17	1.44	1.35908E-001	1.31040E-004	0.00000E+000	1.36000E-001	8.40122E-004	10	...........
	18	1.52	1.43947E-001	1.45034E-004	0.00000E+000	1.44000E-001	8.39143E-004	10	...........
	19	1.6	1.51912E-001	1.58488E-004	0.00000E+000	1.52000E-001	8.40122E-004	10	...........
	20	1.68	1.59937E-001	1.73260E-004	0.00000E+000	1.60000E-001	8.29204E-004	10	...........
	21	1.76	1.67960E-001	1.88531E-004	0.00000E+000	1.68000E-001	8.31725E-004	10	...........
	22	1.84	1.75934E-001	2.03861E-004	0.00000E+000	1.76000E-001	8.32121E-004	10	...........
	23	1.92	1.83937E-001	2.18831E-004	0.00000E+000	1.84000E-001	8.29704E-004	10	...........
	24	2	1.91901E-001	2.34152E-004	0.00000E+000	1.92000E-001	8.33475E-004	10	...........
	25	2.08	1.99940E-001	2.49358E-004	0.00000E+000	2.00000E-001	8.31621E-004	10	...........
	26	2.16	2.07939E-001	2.63979E-004	0.00000E+000	2.08000E-001	8.30683E-004	10	...........
	27	2.24	2.15903E-001	2.77859E-004	0.00000E+000	2.16000E-001	8.31037E-004	10	...........
	28	2.32	2.23947E-001	2.90881E-004	0.00000E+000	2.24000E-001	8.31683E-004	10	...........
	29	2.4	2.31937E-001	3.02977E-004	0.00000E+000	2.32000E-001	8.32663E-004	10	...........
	30	2.48	2.39903E-001	3.14182E-004	0.00000E+000	2.40000E-001	8.29308E-004	10	...........
