EXPLAIN
TAG	CV1
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	9/25/2018	Date
TIME	LABEL	11:48:22	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	-5.00000E-001	F	Initial &E (V)
VLIMIT1	POTEN	-1.00000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	-5.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	-5.00000E-001	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-4.99919E-001	2.31957E-007	0.00000E+000	-5.00000E-001	7.77444E-004	10	...........
	1	0.16	-5.07909E-001	-1.23465E-006	0.00000E+000	-5.08000E-001	7.77777E-004	10	...........
	2	0.24	-5.15930E-001	-1.40553E-006	0.00000E+000	-5.16000E-001	7.78631E-004	10	...........
	3	0.32	-5.23954E-001	-1.78937E-006	0.00000E+000	-5.24000E-001	7.79882E-004	10	...........
	4	0.4	-5.31916E-001	-2.20114E-006	0.00000E+000	-5.32000E-001	7.79486E-004	10	...........
	5	0.48	-5.39918E-001	-2.71710E-006	0.00000E+000	-5.40000E-001	7.77194E-004	10	...........
	6	0.56	-5.47929E-001	-3.19638E-006	0.00000E+000	-5.48000E-001	7.79694E-004	10	...........
	7	0.64	-5.55899E-001	-3.66067E-006	0.00000E+000	-5.56000E-001	7.76464E-004	10	...........
	8	0.72	-5.63950E-001	-4.82220E-006	0.00000E+000	-5.64000E-001	7.82861E-004	10	...........
	9	0.8	-5.71942E-001	-5.72242E-006	0.00000E+000	-5.72000E-001	7.79215E-004	10	...........
	10	0.88	-5.79932E-001	-6.90313E-006	0.00000E+000	-5.80000E-001	7.79236E-004	10	...........
	11	0.96	-5.87968E-001	-8.74525E-006	0.00000E+000	-5.88000E-001	7.79590E-004	10	...........
	12	1.04	-5.95938E-001	-1.18248E-005	0.00000E+000	-5.96000E-001	7.79882E-004	10	...........
	13	1.12	-6.03917E-001	-1.62917E-005	0.00000E+000	-6.04000E-001	7.85904E-004	10	...........
	14	1.2	-6.11934E-001	-2.11583E-005	0.00000E+000	-6.12000E-001	7.84466E-004	10	...........
	15	1.28	-6.19923E-001	-2.75745E-005	0.00000E+000	-6.20000E-001	7.81361E-004	10	...........
	16	1.36	-6.27917E-001	-3.63658E-005	0.00000E+000	-6.28000E-001	7.79361E-004	10	...........
	17	1.44	-6.35936E-001	-4.79653E-005	0.00000E+000	-6.36000E-001	7.80569E-004	10	...........
	18	1.52	-6.43919E-001	-6.32365E-005	0.00000E+000	-6.44000E-001	7.81736E-004	10	...........
	19	1.6	-6.51940E-001	-8.25371E-005	0.00000E+000	-6.52000E-001	7.80153E-004	10	...........
	20	1.68	-6.59901E-001	-1.06550E-004	0.00000E+000	-6.60000E-001	7.79652E-004	10	...........
	21	1.76	-6.67943E-001	-1.36380E-004	0.00000E+000	-6.68000E-001	7.79819E-004	10	...........
	22	1.84	-6.75958E-001	-1.71880E-004	0.00000E+000	-6.76000E-001	7.82090E-004	10	...........
	23	1.92	-6.83923E-001	-2.12914E-004	0.00000E+000	-6.84000E-001	7.84383E-004	10	...........
	24	2	-6.91936E-001	-2.57964E-004	0.00000E+000	-6.92000E-001	7.79423E-004	10	...........
	25	2.08	-6.99927E-001	-3.05588E-004	0.00000E+000	-7.00000E-001	7.83111E-004	10	...........
	26	2.16	-7.07906E-001	-3.52186E-004	0.00000E+000	-7.08000E-001	7.81528E-004	10	...........
	27	2.24	-7.15926E-001	-3.95388E-004	0.00000E+000	-7.16000E-001	7.84716E-004	10	...........
	28	2.32	-7.23922E-001	-4.32330E-004	0.00000E+000	-7.24000E-001	7.81403E-004	10	...........
	29	2.4	-7.31909E-001	-4.61606E-004	0.00000E+000	-7.32000E-001	7.83528E-004	10	...........
	30	2.48	-7.39928E-001	-4.82485E-004	0.00000E+000	-7.40000E-001	7.85904E-004	10	...........
	31	2.56	-7.47902E-001	-4.94317E-004	0.00000E+000	-7.48000E-001	7.83757E-004	10	...........
	32	2.64	-7.55891E-001	-4.97772E-004	0.00000E+000	-7.56000E-001	7.85237E-004	10	...........
	33	2.72	-7.63912E-001	-4.93886E-004	0.00000E+000	-7.64000E-001	7.81111E-004	10	...........
	34	2.8	-7.71943E-001	-4.83980E-004	0.00000E+000	-7.72000E-001	7.85070E-004	10	...........
	35	2.88	-7.79968E-001	-4.70572E-004	0.00000E+000	-7.80000E-001	7.86383E-004	10	...........
	36	2.96	-7.87930E-001	-4.54519E-004	0.00000E+000	-7.88000E-001	7.79673E-004	10	...........
