EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	9/25/2018	Date
TIME	LABEL	11:56:05	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-6.26074E-005	4.55760E-006	0.00000E+000	2.98023E-008	8.08012E-004	10	...........
	1	0.16	7.95855E-003	5.11399E-006	0.00000E+000	8.00002E-003	8.10867E-004	10	...........
	2	0.24	1.59683E-002	5.28778E-006	0.00000E+000	1.60000E-002	8.10575E-004	10	...........
	3	0.32	2.39296E-002	5.55743E-006	0.00000E+000	2.40000E-002	8.13763E-004	10	...........
	4	0.4	3.19504E-002	5.74748E-006	0.00000E+000	3.20000E-002	8.10283E-004	10	...........
	5	0.48	3.99405E-002	5.86667E-006	0.00000E+000	4.00000E-002	8.09429E-004	10	...........
	6	0.56	4.79415E-002	5.97420E-006	0.00000E+000	4.80000E-002	8.06804E-004	10	...........
	7	0.64	5.59662E-002	6.12966E-006	0.00000E+000	5.60000E-002	8.11450E-004	10	...........
	8	0.72	6.39649E-002	6.17133E-006	0.00000E+000	6.40000E-002	8.10492E-004	10	...........
	9	0.8	7.19616E-002	6.23176E-006	0.00000E+000	7.20000E-002	8.08616E-004	10	...........
	10	0.88	7.99553E-002	6.38555E-006	0.00000E+000	8.00000E-002	8.08220E-004	10	...........
	11	0.96	8.79582E-002	6.38305E-006	0.00000E+000	8.80000E-002	8.09179E-004	10	...........
	12	1.04	9.59762E-002	6.59560E-006	0.00000E+000	9.60000E-002	8.03553E-004	10	...........
	13	1.12	1.03966E-001	6.61227E-006	0.00000E+000	1.04000E-001	8.03574E-004	10	...........
	14	1.2	1.11967E-001	6.91777E-006	0.00000E+000	1.12000E-001	8.04220E-004	10	...........
	15	1.28	1.19971E-001	7.13949E-006	0.00000E+000	1.20000E-001	8.04636E-004	10	...........
	16	1.36	1.27933E-001	7.26035E-006	0.00000E+000	1.28000E-001	8.06449E-004	10	...........
	17	1.44	1.35957E-001	7.44415E-006	0.00000E+000	1.36000E-001	8.04741E-004	10	...........
	18	1.52	1.43950E-001	7.53250E-006	0.00000E+000	1.44000E-001	8.04428E-004	10	...........
	19	1.6	1.51946E-001	8.16224E-006	0.00000E+000	1.52000E-001	8.04053E-004	10	...........
	20	1.68	1.59968E-001	8.23934E-006	0.00000E+000	1.60000E-001	8.03282E-004	10	...........
	21	1.76	1.67957E-001	8.51774E-006	0.00000E+000	1.68000E-001	8.03490E-004	10	...........
	22	1.84	1.75957E-001	8.24059E-006	0.00000E+000	1.76000E-001	8.06387E-004	10	...........
	23	1.92	1.83963E-001	8.26435E-006	0.00000E+000	1.84000E-001	8.10138E-004	10	...........
	24	2	1.91956E-001	8.41605E-006	0.00000E+000	1.92000E-001	8.06616E-004	10	...........
	25	2.08	1.99964E-001	8.61318E-006	0.00000E+000	2.00000E-001	8.08033E-004	10	...........
	26	2.16	2.07959E-001	8.86158E-006	0.00000E+000	2.08000E-001	8.11138E-004	10	...........
	27	2.24	2.15958E-001	9.12373E-006	0.00000E+000	2.16000E-001	8.06387E-004	10	...........
	28	2.32	2.23966E-001	9.22833E-006	0.00000E+000	2.24000E-001	8.06449E-004	10	...........
	29	2.4	2.31949E-001	9.32836E-006	0.00000E+000	2.32000E-001	8.10075E-004	10	...........
	30	2.48	2.39951E-001	9.53466E-006	0.00000E+000	2.40000E-001	8.06053E-004	10	...........
	31	2.56	2.47962E-001	9.67511E-006	0.00000E+000	2.48000E-001	8.06595E-004	10	...........
	32	2.64	2.55930E-001	1.01123E-005	0.00000E+000	2.56000E-001	8.07158E-004	10	...........
	33	2.72	2.63968E-001	1.04745E-005	0.00000E+000	2.64000E-001	8.08179E-004	10	...........
	34	2.8	2.71955E-001	1.06145E-005	0.00000E+000	2.72000E-001	8.06241E-004	10	...........
	35	2.88	2.79956E-001	1.12409E-005	0.00000E+000	2.80000E-001	8.04970E-004	10	...........
	36	2.96	2.87962E-001	1.19819E-005	0.00000E+000	2.88000E-001	8.04386E-004	10	...........
	37	3.04	2.95955E-001	1.26475E-005	0.00000E+000	2.96000E-001	8.04866E-004	10	...........
	38	3.12	3.03957E-001	1.37424E-005	0.00000E+000	3.04000E-001	8.04928E-004	10	...........
