EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	9/4/2018	Date
TIME	LABEL	17:13:59	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-5.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	5.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	2	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	1.22821E-005	-4.87763E-006	0.00000E+000	0.00000E+000	7.60128E-004	10	...........
	1	0.16	-7.97118E-003	-8.00173E-006	0.00000E+000	-8.00000E-003	7.64504E-004	10	...........
	2	0.24	-1.58834E-002	-1.30805E-005	0.00000E+000	-1.60000E-002	7.65587E-004	10	...........
	3	0.32	-2.39546E-002	-1.79592E-005	0.00000E+000	-2.40000E-002	7.63191E-004	10	...........
	4	0.4	-3.19250E-002	-2.25607E-005	0.00000E+000	-3.20000E-002	7.63962E-004	10	...........
	5	0.48	-3.98525E-002	-2.76924E-005	0.00000E+000	-4.00000E-002	7.61836E-004	10	...........
	6	0.56	-4.79302E-002	-3.52838E-005	0.00000E+000	-4.80000E-002	7.62983E-004	10	...........
	7	0.64	-5.59512E-002	-4.28757E-005	0.00000E+000	-5.60000E-002	7.64879E-004	10	...........
	8	0.72	-6.38755E-002	-5.02496E-005	0.00000E+000	-6.40000E-002	7.61857E-004	10	...........
	9	0.8	-7.19312E-002	-5.93643E-005	0.00000E+000	-7.20000E-002	7.62816E-004	10	...........
	10	0.88	-7.99499E-002	-6.78656E-005	0.00000E+000	-8.00000E-002	7.67108E-004	10	...........
	11	0.96	-8.79842E-002	-7.66028E-005	0.00000E+000	-8.80000E-002	7.63045E-004	10	...........
	12	1.04	-9.58980E-002	-8.37453E-005	0.00000E+000	-9.60000E-002	7.65754E-004	10	...........
	13	1.12	-1.03947E-001	-9.05920E-005	0.00000E+000	-1.04000E-001	7.62399E-004	10	...........
	14	1.2	-1.11985E-001	-9.61192E-005	0.00000E+000	-1.12000E-001	7.63462E-004	10	...........
	15	1.28	-1.19886E-001	-1.00497E-004	0.00000E+000	-1.20000E-001	7.66233E-004	10	...........
	16	1.36	-1.27934E-001	-1.04633E-004	0.00000E+000	-1.28000E-001	7.61295E-004	10	...........
	17	1.44	-1.35947E-001	-1.07030E-004	0.00000E+000	-1.36000E-001	7.59961E-004	10	...........
	18	1.52	-1.43864E-001	-1.08932E-004	0.00000E+000	-1.44000E-001	7.60357E-004	10	...........
	19	1.6	-1.51926E-001	-1.09914E-004	0.00000E+000	-1.52000E-001	7.62128E-004	10	...........
	20	1.68	-1.59903E-001	-1.10601E-004	0.00000E+000	-1.60000E-001	7.64608E-004	10	...........
	21	1.76	-1.67869E-001	-1.11061E-004	0.00000E+000	-1.68000E-001	7.62795E-004	10	...........
	22	1.84	-1.75953E-001	-1.10990E-004	0.00000E+000	-1.76000E-001	7.61941E-004	10	...........
	23	1.92	-1.83934E-001	-1.11251E-004	0.00000E+000	-1.84000E-001	7.70088E-004	10	...........
	24	2	-1.91850E-001	-1.11145E-004	0.00000E+000	-1.92000E-001	7.66192E-004	10	...........
	25	2.08	-1.99906E-001	-1.10992E-004	0.00000E+000	-2.00000E-001	7.66879E-004	10	...........
	26	2.16	-2.07938E-001	-1.10739E-004	0.00000E+000	-2.08000E-001	7.66608E-004	10	...........
	27	2.24	-2.15975E-001	-1.10177E-004	0.00000E+000	-2.16000E-001	7.66754E-004	10	...........
	28	2.32	-2.23889E-001	-1.09276E-004	0.00000E+000	-2.24000E-001	7.65025E-004	10	...........
