EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	9/4/2018	Date
TIME	LABEL	17:33:17	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	2	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-6.76083E-005	-1.44254E-005	0.00000E+000	2.98023E-008	7.71276E-004	10	...........
	1	0.16	7.97488E-003	-1.27175E-005	0.00000E+000	8.00002E-003	7.71317E-004	10	...........
	2	0.24	1.59108E-002	-1.21148E-005	0.00000E+000	1.60000E-002	7.75756E-004	10	...........
	3	0.32	2.39199E-002	-1.19965E-005	0.00000E+000	2.40000E-002	7.80486E-004	10	...........
	4	0.4	3.19152E-002	-1.17414E-005	0.00000E+000	3.20000E-002	7.75339E-004	10	...........
	5	0.48	3.98915E-002	-1.16410E-005	0.00000E+000	4.00000E-002	7.74360E-004	10	...........
	6	0.56	4.79045E-002	-1.13338E-005	0.00000E+000	4.80000E-002	7.71172E-004	10	...........
	7	0.64	5.59356E-002	-1.11758E-005	0.00000E+000	5.60000E-002	7.65733E-004	10	...........
	8	0.72	6.39898E-002	-1.09866E-005	0.00000E+000	6.40000E-002	7.72276E-004	10	...........
	9	0.8	7.19296E-002	-1.01168E-005	0.00000E+000	7.20000E-002	7.75693E-004	10	...........
	10	0.88	7.99112E-002	-9.91429E-006	0.00000E+000	8.00000E-002	7.73735E-004	10	...........
	11	0.96	8.79821E-002	-9.44584E-006	0.00000E+000	8.80000E-002	7.74922E-004	10	...........
	12	1.04	9.59691E-002	-9.04282E-006	0.00000E+000	9.60000E-002	7.71984E-004	10	...........
	13	1.12	1.03924E-001	-8.52936E-006	0.00000E+000	1.04000E-001	7.71172E-004	10	...........
	14	1.2	1.11976E-001	-8.23304E-006	0.00000E+000	1.12000E-001	7.73880E-004	10	...........
	15	1.28	1.19931E-001	-7.53662E-006	0.00000E+000	1.20000E-001	7.73505E-004	10	...........
	16	1.36	1.27921E-001	-7.07734E-006	0.00000E+000	1.28000E-001	7.74026E-004	10	...........
	17	1.44	1.35945E-001	-6.68349E-006	0.00000E+000	1.36000E-001	7.73235E-004	10	...........
	18	1.52	1.43905E-001	-6.39550E-006	0.00000E+000	1.44000E-001	7.70651E-004	10	...........
	19	1.6	1.51924E-001	-6.04500E-006	0.00000E+000	1.52000E-001	7.74672E-004	10	...........
	20	1.68	1.59957E-001	-5.63407E-006	0.00000E+000	1.60000E-001	7.76527E-004	10	...........
	21	1.76	1.67922E-001	-5.07851E-006	0.00000E+000	1.68000E-001	7.73901E-004	10	...........
	22	1.84	1.75947E-001	-4.83554E-006	0.00000E+000	1.76000E-001	7.74922E-004	10	...........
	23	1.92	1.83938E-001	-4.58089E-006	0.00000E+000	1.84000E-001	7.72776E-004	10	...........
	24	2	1.91988E-001	-4.27957E-006	0.00000E+000	1.92000E-001	7.72401E-004	10	...........
	25	2.08	1.99943E-001	-4.00283E-006	0.00000E+000	2.00000E-001	7.70442E-004	10	...........
	26	2.16	2.07925E-001	-3.78486E-006	0.00000E+000	2.08000E-001	7.71192E-004	10	...........
	27	2.24	2.15987E-001	-3.48729E-006	0.00000E+000	2.16000E-001	7.70296E-004	10	...........
	28	2.32	2.23948E-001	-3.11803E-006	0.00000E+000	2.24000E-001	7.69650E-004	10	...........
	29	2.4	2.31910E-001	-2.83130E-006	0.00000E+000	2.32000E-001	7.67483E-004	10	...........
