EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	9/4/2018	Date
TIME	LABEL	16:26:12	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-1.30000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	8.00000E-001	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-9.47802E-005	3.61404E-006	0.00000E+000	0.00000E+000	8.26307E-004	10	...........
	1	0.16	-8.02471E-003	2.91012E-006	0.00000E+000	-8.00000E-003	8.27432E-004	10	...........
	2	0.24	-1.60765E-002	2.75508E-006	0.00000E+000	-1.60000E-002	8.33559E-004	10	...........
	3	0.32	-2.40327E-002	2.53502E-006	0.00000E+000	-2.40000E-002	8.31308E-004	10	...........
	4	0.4	-3.20404E-002	2.38040E-006	0.00000E+000	-3.20000E-002	8.30162E-004	10	...........
	5	0.48	-4.00783E-002	2.39582E-006	0.00000E+000	-4.00000E-002	8.26120E-004	10	...........
	6	0.56	-4.80287E-002	2.48960E-006	0.00000E+000	-4.80000E-002	8.29204E-004	10	...........
	7	0.64	-5.60667E-002	2.21703E-006	0.00000E+000	-5.60000E-002	8.27766E-004	10	...........
	8	0.72	-6.41008E-002	2.17994E-006	0.00000E+000	-6.40000E-002	8.32433E-004	10	...........
	9	0.8	-7.20632E-002	2.12242E-006	0.00000E+000	-7.20000E-002	8.29745E-004	10	...........
	10	0.88	-8.00507E-002	1.92737E-006	0.00000E+000	-8.00000E-002	8.30266E-004	10	...........
	11	0.96	-8.80042E-002	2.02240E-006	0.00000E+000	-8.80000E-002	8.23703E-004	10	...........
	12	1.04	-9.60594E-002	2.05699E-006	0.00000E+000	-9.60000E-002	8.30308E-004	10	...........
	13	1.12	-1.04079E-001	2.03198E-006	0.00000E+000	-1.04000E-001	8.29516E-004	10	...........
	14	1.2	-1.12016E-001	1.89111E-006	0.00000E+000	-1.12000E-001	8.27891E-004	10	...........
	15	1.28	-1.20079E-001	1.89445E-006	0.00000E+000	-1.20000E-001	8.25224E-004	10	...........
	16	1.36	-1.28068E-001	1.85652E-006	0.00000E+000	-1.28000E-001	8.29225E-004	10	...........
	17	1.44	-1.36024E-001	1.74275E-006	0.00000E+000	-1.36000E-001	8.26849E-004	10	...........
	18	1.52	-1.44074E-001	1.43767E-006	0.00000E+000	-1.44000E-001	8.30350E-004	10	...........
	19	1.6	-1.52025E-001	1.43559E-006	0.00000E+000	-1.52000E-001	8.31142E-004	10	...........
	20	1.68	-1.60079E-001	1.24637E-006	0.00000E+000	-1.60000E-001	8.27474E-004	10	...........
	21	1.76	-1.68096E-001	1.18386E-006	0.00000E+000	-1.68000E-001	8.30767E-004	10	...........
	22	1.84	-1.76051E-001	1.30847E-006	0.00000E+000	-1.76000E-001	8.29370E-004	10	...........
	23	1.92	-1.84051E-001	1.19386E-006	0.00000E+000	-1.84000E-001	8.28954E-004	10	...........
	24	2	-1.92084E-001	9.33796E-007	0.00000E+000	-1.92000E-001	8.26599E-004	10	...........
	25	2.08	-2.00060E-001	1.01840E-006	0.00000E+000	-2.00000E-001	8.29391E-004	10	...........
	26	2.16	-2.08067E-001	9.02122E-007	0.00000E+000	-2.08000E-001	8.30516E-004	10	...........
	27	2.24	-2.16002E-001	5.91212E-007	0.00000E+000	-2.16000E-001	8.29641E-004	10	...........
	28	2.32	-2.24057E-001	3.84495E-007	0.00000E+000	-2.24000E-001	8.28933E-004	10	...........
	29	2.4	-2.32055E-001	2.85721E-007	0.00000E+000	-2.32000E-001	8.31350E-004	10	...........
