EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	8/30/2018	Date
TIME	LABEL	14:52:16	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-1.50000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.08	-4.09573E-005	4.38339E-006	0.00000E+000	-5.96046E-008	7.63212E-004	10	...........
	1	0.16	-7.99874E-003	3.05182E-006	0.00000E+000	-8.00008E-003	7.64545E-004	10	...........
	2	0.24	-1.59995E-002	2.72174E-006	0.00000E+000	-1.60001E-002	7.66379E-004	10	...........
	3	0.32	-2.39890E-002	2.69881E-006	0.00000E+000	-2.40000E-002	7.62983E-004	10	...........
	4	0.4	-3.19853E-002	2.76550E-006	0.00000E+000	-3.20001E-002	7.61899E-004	10	...........
	5	0.48	-3.99919E-002	2.56628E-006	0.00000E+000	-4.00001E-002	7.67796E-004	10	...........
	6	0.56	-4.79826E-002	2.51502E-006	0.00000E+000	-4.80001E-002	7.67754E-004	10	...........
	7	0.64	-5.60044E-002	2.26371E-006	0.00000E+000	-5.60001E-002	7.65754E-004	10	...........
	8	0.72	-6.40172E-002	2.42500E-006	0.00000E+000	-6.40001E-002	7.63524E-004	10	...........
	9	0.8	-7.19997E-002	2.29580E-006	0.00000E+000	-7.20001E-002	7.66504E-004	10	...........
	10	0.88	-8.00083E-002	2.18744E-006	0.00000E+000	-8.00001E-002	7.73214E-004	10	...........
	11	0.96	-8.80119E-002	2.30955E-006	0.00000E+000	-8.80001E-002	7.70484E-004	10	...........
	12	1.04	-9.59916E-002	2.28038E-006	0.00000E+000	-9.60001E-002	7.63712E-004	10	...........
	13	1.12	-1.04017E-001	2.05240E-006	0.00000E+000	-1.04000E-001	7.63733E-004	10	...........
	14	1.2	-1.12015E-001	2.10283E-006	0.00000E+000	-1.12000E-001	7.70005E-004	10	...........
	15	1.28	-1.20003E-001	2.02615E-006	0.00000E+000	-1.20000E-001	7.70234E-004	10	...........
	16	1.36	-1.28014E-001	2.03948E-006	0.00000E+000	-1.28000E-001	7.66066E-004	10	...........
	17	1.44	-1.35996E-001	2.03490E-006	0.00000E+000	-1.36000E-001	7.66254E-004	10	...........
	18	1.52	-1.43992E-001	1.98280E-006	0.00000E+000	-1.44000E-001	7.72443E-004	10	...........
	19	1.6	-1.51984E-001	2.00323E-006	0.00000E+000	-1.52000E-001	7.71005E-004	10	...........
	20	1.68	-1.60013E-001	2.00156E-006	0.00000E+000	-1.60000E-001	7.71276E-004	10	...........
	21	1.76	-1.68015E-001	1.94446E-006	0.00000E+000	-1.68000E-001	7.69546E-004	10	...........
	22	1.84	-1.76010E-001	1.77359E-006	0.00000E+000	-1.76000E-001	7.73193E-004	10	...........
	23	1.92	-1.84001E-001	1.53811E-006	0.00000E+000	-1.84000E-001	7.73464E-004	10	...........
	24	2	-1.92008E-001	1.59396E-006	0.00000E+000	-1.92000E-001	7.70505E-004	10	...........
	25	2.08	-1.99991E-001	1.25387E-006	0.00000E+000	-2.00000E-001	7.67796E-004	10	...........
	26	2.16	-2.08009E-001	1.20595E-006	0.00000E+000	-2.08000E-001	7.66462E-004	10	...........
	27	2.24	-2.16009E-001	1.16594E-006	0.00000E+000	-2.16000E-001	7.64629E-004	10	...........
	28	2.32	-2.23994E-001	1.01590E-006	0.00000E+000	-2.24000E-001	7.69609E-004	10	...........
	29	2.4	-2.32003E-001	8.27520E-007	0.00000E+000	-2.32000E-001	7.63420E-004	10	...........
	30	2.48	-2.40009E-001	8.31271E-007	0.00000E+000	-2.40000E-001	7.67692E-004	10	...........
	31	2.56	-2.47980E-001	5.06191E-007	0.00000E+000	-2.48000E-001	7.68192E-004	10	...........
	32	2.64	-2.56021E-001	1.22347E-007	0.00000E+000	-2.56000E-001	7.69734E-004	10	...........
	33	2.72	-2.64003E-001	-3.35244E-008	0.00000E+000	-2.64000E-001	7.66671E-004	10	...........
	34	2.8	-2.71997E-001	-4.77383E-007	0.00000E+000	-2.72000E-001	7.67629E-004	10	...........
	35	2.88	-2.79993E-001	-9.57918E-007	0.00000E+000	-2.80000E-001	7.68713E-004	10	...........
	36	2.96	-2.87987E-001	-1.24049E-006	0.00000E+000	-2.88000E-001	7.72422E-004	10	...........
	37	3.04	-2.95990E-001	-1.38052E-006	0.00000E+000	-2.96000E-001	7.72922E-004	10	...........
	38	3.12	-3.03991E-001	-2.23698E-006	0.00000E+000	-3.04000E-001	7.69234E-004	10	...........
	39	3.2	-3.11996E-001	-2.85338E-006	0.00000E+000	-3.12000E-001	7.72338E-004	10	...........
	40	3.28	-3.20004E-001	-3.78320E-006	0.00000E+000	-3.20000E-001	7.69109E-004	10	...........
	41	3.36	-3.27995E-001	-4.35292E-006	0.00000E+000	-3.28000E-001	7.68254E-004	10	...........
	42	3.44	-3.36007E-001	-4.93556E-006	0.00000E+000	-3.36000E-001	7.68879E-004	10	...........
	43	3.52	-3.44011E-001	-5.35108E-006	0.00000E+000	-3.44000E-001	7.69255E-004	10	...........
	44	3.6	-3.51984E-001	-5.72951E-006	0.00000E+000	-3.52000E-001	7.73026E-004	10	...........
	45	3.68	-3.60017E-001	-5.96040E-006	0.00000E+000	-3.60000E-001	7.70026E-004	10	...........
	46	3.76	-3.68033E-001	-6.25755E-006	0.00000E+000	-3.68000E-001	7.68921E-004	10	...........
	47	3.84	-3.76000E-001	-6.44968E-006	0.00000E+000	-3.76000E-001	7.66546E-004	10	...........
	48	3.92	-3.84028E-001	-6.79143E-006	0.00000E+000	-3.84000E-001	7.71880E-004	10	...........
	49	4	-3.92006E-001	-6.92355E-006	0.00000E+000	-3.92000E-001	7.71130E-004	10	...........
	50	4.08	-3.99995E-001	-7.02608E-006	0.00000E+000	-4.00000E-001	7.70922E-004	10	...........
	51	4.16	-4.07988E-001	-6.95856E-006	0.00000E+000	-4.08000E-001	7.67525E-004	10	...........
	52	4.24	-4.15975E-001	-6.89729E-006	0.00000E+000	-4.16000E-001	7.70130E-004	10	...........
	53	4.32	-4.23985E-001	-6.84770E-006	0.00000E+000	-4.24000E-001	7.71067E-004	10	...........
	54	4.4	-4.31986E-001	-6.71392E-006	0.00000E+000	-4.32000E-001	7.67588E-004	10	...........
	55	4.48	-4.39976E-001	-6.81769E-006	0.00000E+000	-4.40000E-001	7.67817E-004	10	...........
	56	4.56	-4.47968E-001	-6.79269E-006	0.00000E+000	-4.48000E-001	7.72151E-004	10	...........
	57	4.64	-4.55966E-001	-6.72308E-006	0.00000E+000	-4.56000E-001	7.74360E-004	10	...........
	58	4.72	-4.63997E-001	-6.53429E-006	0.00000E+000	-4.64000E-001	7.75214E-004	10	...........
	59	4.8	-4.72007E-001	-6.28548E-006	0.00000E+000	-4.72000E-001	7.77548E-004	10	...........
	60	4.88	-4.79987E-001	-6.51387E-006	0.00000E+000	-4.80000E-001	7.66942E-004	10	...........
	61	4.96	-4.87996E-001	-6.53804E-006	0.00000E+000	-4.88000E-001	7.66525E-004	10	...........
	62	5.04	-4.96016E-001	-6.40467E-006	0.00000E+000	-4.96000E-001	7.79715E-004	10	...........
	63	5.12	-5.03974E-001	-6.09210E-006	0.00000E+000	-5.04000E-001	7.83278E-004	10	...........
	64	5.2	-5.12007E-001	-5.97123E-006	0.00000E+000	-5.12000E-001	7.73172E-004	10	...........
	65	5.28	-5.19992E-001	-5.92330E-006	0.00000E+000	-5.20000E-001	7.70338E-004	10	...........
	66	5.36	-5.27983E-001	-5.82995E-006	0.00000E+000	-5.28000E-001	7.72839E-004	10	...........
	67	5.44	-5.35985E-001	-5.69825E-006	0.00000E+000	-5.36000E-001	7.78006E-004	10	...........
	68	5.52	-5.43971E-001	-5.66866E-006	0.00000E+000	-5.44000E-001	7.77485E-004	10	...........
	69	5.6	-5.51976E-001	-5.64449E-006	0.00000E+000	-5.52000E-001	7.74318E-004	10	...........
	70	5.68	-5.59985E-001	-5.59864E-006	0.00000E+000	-5.60000E-001	7.73755E-004	10	...........
	71	5.76	-5.68000E-001	-5.55613E-006	0.00000E+000	-5.68000E-001	7.78298E-004	10	...........
	72	5.84	-5.75997E-001	-5.59364E-006	0.00000E+000	-5.76000E-001	7.75568E-004	10	...........
	73	5.92	-5.83994E-001	-5.63907E-006	0.00000E+000	-5.84000E-001	7.72484E-004	10	...........
	74	6	-5.92018E-001	-5.76993E-006	0.00000E+000	-5.92000E-001	7.72380E-004	10	...........
	75	6.08	-6.00018E-001	-5.73034E-006	0.00000E+000	-6.00000E-001	7.77423E-004	10	...........
	76	6.16	-6.07980E-001	-6.03792E-006	0.00000E+000	-6.08000E-001	7.79402E-004	10	...........
	77	6.24	-6.16000E-001	-5.96081E-006	0.00000E+000	-6.16000E-001	7.78548E-004	10	...........
	78	6.32	-6.24017E-001	-5.98999E-006	0.00000E+000	-6.24000E-001	7.74902E-004	10	...........
	79	6.4	-6.31982E-001	-6.11002E-006	0.00000E+000	-6.32000E-001	7.76839E-004	10	...........
	80	6.48	-6.40006E-001	-5.97915E-006	0.00000E+000	-6.40000E-001	7.80778E-004	10	...........
	81	6.56	-6.47987E-001	-6.08793E-006	0.00000E+000	-6.48000E-001	7.77194E-004	10	...........
	82	6.64	-6.55971E-001	-6.13002E-006	0.00000E+000	-6.56000E-001	7.75589E-004	10	...........
	83	6.72	-6.63973E-001	-6.24338E-006	0.00000E+000	-6.64000E-001	7.74026E-004	10	...........
	84	6.8	-6.71990E-001	-6.22213E-006	0.00000E+000	-6.72000E-001	7.78548E-004	10	...........
	85	6.88	-6.79995E-001	-6.23505E-006	0.00000E+000	-6.80000E-001	7.83403E-004	10	...........
	86	6.96	-6.88002E-001	-6.37758E-006	0.00000E+000	-6.88000E-001	7.81236E-004	10	...........
	87	7.04	-6.96000E-001	-6.38133E-006	0.00000E+000	-6.96000E-001	7.79069E-004	10	...........
	88	7.12	-7.03985E-001	-6.35133E-006	0.00000E+000	-7.04000E-001	7.78902E-004	10	...........
	89	7.2	-7.11981E-001	-6.37800E-006	0.00000E+000	-7.12000E-001	7.80986E-004	10	...........
	90	7.28	-7.20010E-001	-6.53762E-006	0.00000E+000	-7.20000E-001	7.79340E-004	10	...........
	91	7.36	-7.28019E-001	-6.53679E-006	0.00000E+000	-7.28000E-001	7.77735E-004	10	...........
	92	7.44	-7.35990E-001	-6.49428E-006	0.00000E+000	-7.36000E-001	7.72901E-004	10	...........
	93	7.52	-7.44011E-001	-6.60097E-006	0.00000E+000	-7.44000E-001	7.74401E-004	10	...........
	94	7.6	-7.52026E-001	-6.62139E-006	0.00000E+000	-7.52000E-001	7.74110E-004	10	...........
	95	7.68	-7.59977E-001	-6.75226E-006	0.00000E+000	-7.60000E-001	7.72338E-004	10	...........
	96	7.76	-7.68028E-001	-6.80560E-006	0.00000E+000	-7.68000E-001	7.72068E-004	10	...........
	97	7.84	-7.76008E-001	-6.88271E-006	0.00000E+000	-7.76000E-001	7.77527E-004	10	...........
	98	7.92	-7.83994E-001	-6.98190E-006	0.00000E+000	-7.84000E-001	7.77110E-004	10	...........
	99	8	-7.92005E-001	-6.93772E-006	0.00000E+000	-7.92000E-001	7.75006E-004	10	...........
	100	8.08	-7.99986E-001	-7.16528E-006	0.00000E+000	-8.00000E-001	7.74943E-004	10	...........
	101	8.16	-8.07991E-001	-7.10776E-006	0.00000E+000	-8.08000E-001	7.75756E-004	10	...........
	102	8.24	-8.15989E-001	-7.18695E-006	0.00000E+000	-8.16000E-001	7.79131E-004	10	...........
	103	8.32	-8.23989E-001	-7.37699E-006	0.00000E+000	-8.24000E-001	7.74777E-004	10	...........
	104	8.4	-8.31991E-001	-7.41117E-006	0.00000E+000	-8.32000E-001	7.73339E-004	10	...........
	105	8.48	-8.39980E-001	-7.53037E-006	0.00000E+000	-8.40000E-001	7.72901E-004	10	...........
	106	8.56	-8.47996E-001	-7.38992E-006	0.00000E+000	-8.48000E-001	7.75631E-004	10	...........
	107	8.64	-8.56008E-001	-7.47410E-006	0.00000E+000	-8.56000E-001	7.79548E-004	10	...........
	108	8.72	-8.63976E-001	-7.30364E-006	0.00000E+000	-8.64000E-001	7.72776E-004	10	...........
	109	8.8	-8.72011E-001	-7.75542E-006	0.00000E+000	-8.72000E-001	7.74443E-004	10	...........
	110	8.88	-8.80018E-001	-7.60872E-006	0.00000E+000	-8.80000E-001	7.80653E-004	10	...........
	111	8.96	-8.87993E-001	-7.94839E-006	0.00000E+000	-8.88000E-001	7.79465E-004	10	...........
	112	9.04	-8.96018E-001	-8.17094E-006	0.00000E+000	-8.96000E-001	7.80528E-004	10	...........
	113	9.12	-9.04000E-001	-8.06258E-006	0.00000E+000	-9.04000E-001	7.73547E-004	10	...........
	114	9.2	-9.11983E-001	-7.96756E-006	0.00000E+000	-9.12000E-001	7.78319E-004	10	...........
	115	9.28	-9.19980E-001	-8.09509E-006	0.00000E+000	-9.20000E-001	7.77798E-004	10	...........
	116	9.36	-9.27989E-001	-8.17552E-006	0.00000E+000	-9.28000E-001	7.77277E-004	10	...........
	117	9.44	-9.35997E-001	-8.34265E-006	0.00000E+000	-9.36000E-001	7.78673E-004	10	...........
	118	9.52	-9.44001E-001	-8.34682E-006	0.00000E+000	-9.44000E-001	7.72609E-004	10	...........
	119	9.6	-9.51997E-001	-8.49644E-006	0.00000E+000	-9.52000E-001	7.76735E-004	10	...........
	120	9.68	-9.59987E-001	-8.88028E-006	0.00000E+000	-9.60000E-001	7.79048E-004	10	...........
	121	9.76	-9.67981E-001	-8.92863E-006	0.00000E+000	-9.68000E-001	7.74777E-004	10	...........
	122	9.84	-9.76018E-001	-9.30872E-006	0.00000E+000	-9.76000E-001	7.76589E-004	10	...........
	123	9.92	-9.84030E-001	-9.57128E-006	0.00000E+000	-9.84000E-001	7.78235E-004	10	...........
	124	10	-9.92003E-001	-9.84593E-006	0.00000E+000	-9.92000E-001	7.77027E-004	10	...........
	125	10.08	-1.00002E+000	-9.91970E-006	0.00000E+000	-1.00000E+000	7.76027E-004	10	...........
	126	10.16	-1.00804E+000	-1.03586E-005	0.00000E+000	-1.00800E+000	7.73068E-004	10	...........
	127	10.24	-1.01599E+000	-1.10450E-005	0.00000E+000	-1.01600E+000	7.77881E-004	10	...........
	128	10.32	-1.02402E+000	-1.12980E-005	0.00000E+000	-1.02400E+000	7.74943E-004	10	...........
	129	10.4	-1.03200E+000	-1.18543E-005	0.00000E+000	-1.03200E+000	7.78402E-004	10	...........
	130	10.48	-1.03999E+000	-1.27100E-005	0.00000E+000	-1.04000E+000	7.70630E-004	10	...........
	131	10.56	-1.04799E+000	-1.37219E-005	0.00000E+000	-1.04800E+000	7.72984E-004	10	...........
	132	10.64	-1.05598E+000	-1.50864E-005	0.00000E+000	-1.05600E+000	7.80361E-004	10	...........
	133	10.72	-1.06398E+000	-1.65872E-005	0.00000E+000	-1.06400E+000	7.81799E-004	10	...........
	134	10.8	-1.07199E+000	-1.82263E-005	0.00000E+000	-1.07200E+000	7.83507E-004	10	...........
	135	10.88	-1.08001E+000	-2.02614E-005	0.00000E+000	-1.08000E+000	7.78881E-004	10	...........
	136	10.96	-1.08801E+000	-2.25870E-005	0.00000E+000	-1.08800E+000	7.79027E-004	10	...........
	137	11.04	-1.09600E+000	-2.54393E-005	0.00000E+000	-1.09600E+000	7.82090E-004	10	...........
	138	11.12	-1.10403E+000	-2.98263E-005	0.00000E+000	-1.10400E+000	7.80236E-004	10	...........
	139	11.2	-1.11203E+000	-3.49434E-005	0.00000E+000	-1.11200E+000	7.78944E-004	10	...........
