EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	8/30/2018	Date
TIME	LABEL	14:54:20	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-1.50000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+002	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.008	-5.11145E-005	2.24849E-006	0.00000E+000	-5.96046E-008	8.72355E-004	10	...........
	1	0.016	-7.84077E-003	-1.49004E-005	0.00000E+000	-8.00008E-003	8.80705E-004	10	...........
	2	0.024	-1.57663E-002	-1.89423E-005	0.00000E+000	-1.60001E-002	8.89473E-004	10	...........
	3	0.032	-2.38249E-002	-2.02617E-005	0.00000E+000	-2.40000E-002	8.69014E-004	10	...........
	4	0.04	-3.17934E-002	-2.10050E-005	0.00000E+000	-3.20001E-002	8.77783E-004	10	...........
	5	0.048	-3.97323E-002	-2.08672E-005	0.00000E+000	-4.00001E-002	8.67553E-004	10	...........
	6	0.056	-4.78068E-002	-2.13933E-005	0.00000E+000	-4.80001E-002	8.72772E-004	10	...........
	7	0.064	-5.58171E-002	-2.12764E-005	0.00000E+000	-5.60001E-002	8.70058E-004	10	...........
	8	0.072	-6.37558E-002	-2.16689E-005	0.00000E+000	-6.40001E-002	8.78409E-004	10	...........
	9	0.08	-7.18101E-002	-2.15436E-005	0.00000E+000	-7.20001E-002	8.64004E-004	10	...........
	10	0.088	-7.98173E-002	-2.21282E-005	0.00000E+000	-8.00001E-002	8.71728E-004	10	...........
	11	0.096	-8.78686E-002	-2.24414E-005	0.00000E+000	-8.80001E-002	8.65048E-004	10	...........
	12	0.104	-9.57864E-002	-2.23871E-005	0.00000E+000	-9.60001E-002	8.69223E-004	10	...........
	13	0.112	-1.03825E-001	-2.22117E-005	0.00000E+000	-1.04000E-001	8.52522E-004	10	...........
	14	0.12	-1.11858E-001	-2.22201E-005	0.00000E+000	-1.12000E-001	8.43754E-004	10	...........
	15	0.128	-1.19777E-001	-2.22117E-005	0.00000E+000	-1.20000E-001	8.57741E-004	10	...........
	16	0.136	-1.27828E-001	-2.22911E-005	0.00000E+000	-1.28000E-001	8.51478E-004	10	...........
	17	0.144	-1.35832E-001	-2.22827E-005	0.00000E+000	-1.36000E-001	8.54401E-004	10	...........
	18	0.152	-1.43738E-001	-2.20697E-005	0.00000E+000	-1.44000E-001	8.65883E-004	10	...........
	19	0.16	-1.51814E-001	-2.19528E-005	0.00000E+000	-1.52000E-001	8.64839E-004	10	...........
	20	0.168	-1.59779E-001	-2.18109E-005	0.00000E+000	-1.60000E-001	8.55445E-004	10	...........
	21	0.176	-1.67775E-001	-2.17566E-005	0.00000E+000	-1.68000E-001	8.54818E-004	10	...........
	22	0.184	-1.75832E-001	-2.17733E-005	0.00000E+000	-1.76000E-001	8.63378E-004	10	...........
	23	0.192	-1.83810E-001	-2.17649E-005	0.00000E+000	-1.84000E-001	8.77156E-004	10	...........
	24	0.2	-1.91750E-001	-2.17942E-005	0.00000E+000	-1.92000E-001	8.63378E-004	10	...........
	25	0.208	-1.99781E-001	-2.19445E-005	0.00000E+000	-2.00000E-001	8.65674E-004	10	...........
	26	0.216	-2.07814E-001	-2.18902E-005	0.00000E+000	-2.08000E-001	8.59829E-004	10	...........
	27	0.224	-2.15867E-001	-2.20280E-005	0.00000E+000	-2.16000E-001	8.62751E-004	10	...........
	28	0.232	-2.23784E-001	-2.21783E-005	0.00000E+000	-2.24000E-001	8.60873E-004	10	...........
	29	0.24	-2.31805E-001	-2.27796E-005	0.00000E+000	-2.32000E-001	8.63169E-004	10	...........
	30	0.248	-2.39848E-001	-2.29758E-005	0.00000E+000	-2.40000E-001	8.54610E-004	10	...........
	31	0.256	-2.47746E-001	-2.37233E-005	0.00000E+000	-2.48000E-001	8.64422E-004	10	...........
