EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	8/30/2018	Date
TIME	LABEL	14:53:20	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-1.50000E+000	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	4.99999E+002	&Scan Rate (mV/s)
STEPSIZE	QUANT	8.00000E+000	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	2	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.016	-6.80596E-005	3.92912E-006	0.00000E+000	-5.96046E-008	7.75115E-004	10	...........
	1	0.032	-7.94083E-003	-8.02335E-006	0.00000E+000	-8.00008E-003	7.75845E-004	10	...........
	2	0.048	-1.58859E-002	-1.02153E-005	0.00000E+000	-1.60001E-002	7.72404E-004	10	...........
	3	0.064	-2.39371E-002	-1.06387E-005	0.00000E+000	-2.40000E-002	7.70319E-004	10	...........
	4	0.08	-3.18958E-002	-1.04259E-005	0.00000E+000	-3.20001E-002	7.71049E-004	10	...........
	5	0.096	-3.98660E-002	-1.03530E-005	0.00000E+000	-4.00001E-002	7.74698E-004	10	...........
	6	0.112	-4.79158E-002	-1.03384E-005	0.00000E+000	-4.80001E-002	7.73968E-004	10	...........
	7	0.128	-5.59231E-002	-1.01027E-005	0.00000E+000	-5.60001E-002	7.70319E-004	10	...........
	8	0.144	-6.38883E-002	-1.03550E-005	0.00000E+000	-6.40001E-002	7.76888E-004	10	...........
	9	0.16	-7.19123E-002	-1.02132E-005	0.00000E+000	-7.20001E-002	7.77931E-004	10	...........
	10	0.176	-7.99394E-002	-1.00651E-005	0.00000E+000	-8.00001E-002	7.72821E-004	10	...........
	11	0.192	-8.79715E-002	-1.01527E-005	0.00000E+000	-8.80001E-002	7.68755E-004	10	...........
	12	0.208	-9.58998E-002	-1.00422E-005	0.00000E+000	-9.60001E-002	7.70527E-004	10	...........
	13	0.224	-1.03941E-001	-9.67097E-006	0.00000E+000	-1.04000E-001	7.70736E-004	10	...........
	14	0.24	-1.11967E-001	-9.84615E-006	0.00000E+000	-1.12000E-001	7.73239E-004	10	...........
	15	0.256	-1.19891E-001	-9.79402E-006	0.00000E+000	-1.20000E-001	7.71987E-004	10	...........
	16	0.272	-1.27943E-001	-9.67514E-006	0.00000E+000	-1.28000E-001	7.77514E-004	10	...........
	17	0.288	-1.35940E-001	-9.61257E-006	0.00000E+000	-1.36000E-001	7.78139E-004	10	...........
	18	0.304	-1.43876E-001	-9.66888E-006	0.00000E+000	-1.44000E-001	7.72300E-004	10	...........
	19	0.32	-1.51920E-001	-9.65220E-006	0.00000E+000	-1.52000E-001	7.78661E-004	10	...........
	20	0.336	-1.59896E-001	-9.71893E-006	0.00000E+000	-1.60000E-001	7.82102E-004	10	...........
	21	0.352	-1.67888E-001	-9.61466E-006	0.00000E+000	-1.68000E-001	7.78556E-004	10	...........
	22	0.368	-1.75947E-001	-9.92124E-006	0.00000E+000	-1.76000E-001	7.85647E-004	10	...........
	23	0.384	-1.83923E-001	-9.48743E-006	0.00000E+000	-1.84000E-001	7.82310E-004	10	...........
	24	0.4	-1.91878E-001	-9.81696E-006	0.00000E+000	-1.92000E-001	7.78974E-004	10	...........
	25	0.416	-1.99900E-001	-9.90455E-006	0.00000E+000	-2.00000E-001	7.82310E-004	10	...........
	26	0.432	-2.07929E-001	-9.93166E-006	0.00000E+000	-2.08000E-001	7.81163E-004	10	...........
	27	0.448	-2.15966E-001	-1.02904E-005	0.00000E+000	-2.16000E-001	7.78035E-004	10	...........
	28	0.464	-2.23900E-001	-1.03988E-005	0.00000E+000	-2.24000E-001	7.82415E-004	10	...........
