E /V	I /uA	I /uA
0.500	0.130	7.040
0.499	0.102	6.998
0.498	0.083	6.964
0.497	0.064	6.932
0.496	0.061	6.908
0.495	0.042	6.871
0.494	0.034	6.841
0.493	0.027	6.812
0.492	0.021	6.785
0.491	0.016	6.756
0.490	0.012	6.728
0.489	0.005	6.698
0.488	-0.001	6.669
0.487	-0.007	6.642
0.486	-0.013	6.613
0.485	-0.019	6.584
0.484	-0.023	6.555
0.483	-0.026	6.530
0.482	-0.029	6.505
0.481	-0.031	6.478
0.480	-0.035	6.452
0.479	-0.039	6.425
0.478	-0.043	6.401
0.477	-0.046	6.377
0.476	-0.049	6.351
0.475	-0.052	6.323
0.474	-0.054	6.302
0.473	-0.056	6.276
0.472	-0.057	6.249
0.471	-0.058	6.227
0.470	-0.060	6.209
0.469	-0.062	6.195
0.468	-0.063	6.176
0.467	-0.064	6.153
0.466	-0.068	6.129
0.465	-0.070	6.107
0.464	-0.073	6.085
0.463	-0.078	6.057
0.462	-0.081	6.031
0.461	-0.085	6.010
0.460	-0.088	5.995
0.459	-0.090	5.979
0.458	-0.092	5.958
0.457	-0.093	5.935
0.456	-0.094	5.913
0.455	-0.093	5.896
0.454	-0.092	5.874
0.453	-0.092	5.855
0.452	-0.091	5.834
0.451	-0.089	5.813
0.450	-0.087	5.794
0.449	-0.086	5.773
0.448	-0.084	5.751
0.447	-0.082	5.728
0.446	-0.081	5.706
0.445	-0.081	5.684
0.444	-0.082	5.664
0.443	-0.085	5.641
0.442	-0.086	5.620
0.441	-0.087	5.600
0.440	-0.089	5.582
0.439	-0.091	5.565
0.438	-0.091	5.546
0.437	-0.090	5.528
0.436	-0.091	5.509
0.435	-0.093	5.491
0.434	-0.096	5.472
0.433	-0.099	5.450
0.432	-0.102	5.431
0.431	-0.105	5.410
0.430	-0.108	5.392
0.429	-0.110	5.374
0.428	-0.111	5.354
0.427	-0.111	5.334
0.426	-0.112	5.316
0.425	-0.113	5.297
0.424	-0.113	5.278
0.423	-0.113	5.258
0.422	-0.114	5.240
0.421	-0.115	5.221
0.420	-0.117	5.202
0.419	-0.118	5.182
0.418	-0.120	5.163
0.417	-0.122	5.144
0.416	-0.124	5.125
0.415	-0.125	5.103
0.414	-0.126	5.083
0.413	-0.127	5.066
0.412	-0.129	5.049
0.411	-0.133	5.032
0.410	-0.137	5.014
0.409	-0.140	4.999
0.408	-0.143	4.984
0.407	-0.146	4.967
0.406	-0.150	4.950
0.405	-0.154	4.932
0.404	-0.158	4.918
0.403	-0.160	4.902
0.402	-0.164	4.886
0.401	-0.169	4.872
0.400	-0.171	4.862
0.399	-0.171	4.852
0.398	-0.171	4.836
0.397	-0.173	4.815
0.396	-0.177	4.796
0.395	-0.179	4.776
0.394	-0.183	4.757
0.393	-0.189	4.734
0.392	-0.197	4.713
0.391	-0.205	4.695
0.390	-0.212	4.682
0.389	-0.217	4.668
0.388	-0.222	4.648
0.387	-0.227	4.630
0.386	-0.232	4.613
0.385	-0.233	4.595
0.384	-0.238	4.575
0.383	-0.243	4.554
0.382	-0.248	4.533
0.381	-0.255	4.513
0.380	-0.266	4.497
0.379	-0.275	4.477
0.378	-0.278	4.457
0.377	-0.280	4.437
0.376	-0.281	4.418
0.375	-0.281	4.395
0.374	-0.282	4.372
0.373	-0.283	4.351
0.372	-0.286	4.330
0.371	-0.292	4.308
0.370	-0.302	4.288
0.369	-0.310	4.266
0.368	-0.315	4.243
0.367	-0.322	4.220
0.366	-0.331	4.199
0.365	-0.338	4.176
0.364	-0.346	4.153
0.363	-0.357	4.130
0.362	-0.369	4.107
0.361	-0.379	4.081
0.360	-0.392	4.055
0.359	-0.405	4.029
0.358	-0.419	4.001
0.357	-0.432	3.977
0.356	-0.447	3.953
0.355	-0.459	3.929
0.354	-0.472	3.905
0.353	-0.487	3.882
0.352	-0.503	3.858
0.351	-0.516	3.831
0.350	-0.534	3.800
0.349	-0.549	3.768
0.348	-0.566	3.737
0.347	-0.584	3.704
0.346	-0.603	3.669
0.345	-0.621	3.636
0.344	-0.642	3.602
0.343	-0.663	3.568
0.342	-0.686	3.534
0.341	-0.707	3.497
0.340	-0.732	3.460
0.339	-0.755	3.426
0.338	-0.780	3.390
0.337	-0.807	3.351
0.336	-0.835	3.311
0.335	-0.863	3.272
0.334	-0.894	3.236
0.333	-0.925	3.193
0.332	-0.959	3.141
0.331	-0.990	3.093
0.330	-1.023	3.055
0.329	-1.057	3.012
0.328	-1.093	2.964
0.327	-1.134	2.915
0.326	-1.176	2.865
0.325	-1.218	2.818
0.324	-1.262	2.769
0.323	-1.310	2.708
0.322	-1.358	2.643
0.321	-1.405	2.583
0.320	-1.457	2.528
0.319	-1.508	2.464
0.318	-1.563	2.400
0.317	-1.620	2.334
0.316	-1.677	2.267
0.315	-1.734	2.200
0.314	-1.796	2.126
0.313	-1.859	2.048
0.312	-1.925	1.969
0.311	-1.985	1.888
0.310	-2.057	1.805
0.309	-2.134	1.719
0.308	-2.213	1.634
0.307	-2.287	1.542
0.306	-2.362	1.445
0.305	-2.444	1.347
0.304	-2.533	1.244
0.303	-2.619	1.139
0.302	-2.711	1.029
0.301	-2.802	0.920
0.300	-2.909	0.806
0.299	-3.021	0.689
0.298	-3.130	0.569
0.297	-3.235	0.441
0.296	-3.348	0.312
0.295	-3.470	0.181
0.294	-3.593	0.045
0.293	-3.718	-0.095
0.292	-3.850	-0.242
0.291	-3.989	-0.390
0.290	-4.133	-0.543
0.289	-4.282	-0.701
0.288	-4.433	-0.863
0.287	-4.589	-1.029
0.286	-4.754	-1.201
0.285	-4.922	-1.377
0.284	-5.094	-1.561
0.283	-5.272	-1.753
0.282	-5.452	-1.952
0.281	-5.640	-2.158
0.280	-5.835	-2.370
0.279	-6.034	-2.589
0.278	-6.237	-2.814
0.277	-6.446	-3.045
0.276	-6.667	-3.280
0.275	-6.893	-3.521
0.274	-7.128	-3.767
0.273	-7.368	-4.019
0.272	-7.617	-4.275
0.271	-7.872	-4.539
0.270	-8.135	-4.809
0.269	-8.403	-5.090
0.268	-8.677	-5.380
0.267	-8.957	-5.676
0.266	-9.247	-5.978
0.265	-9.543	-6.287
0.264	-9.848	-6.601
0.263	-10.160	-6.933
0.262	-10.482	-7.272
0.261	-10.807	-7.610
0.260	-11.141	-7.952
0.259	-11.482	-8.307
0.258	-11.833	-8.670
0.257	-12.190	-9.037
0.256	-12.558	-9.409
0.255	-12.931	-9.786
0.254	-13.318	-10.177
0.253	-13.714	-10.586
0.252	-14.117	-11.001
0.251	-14.523	-11.417
0.250	-14.938	-11.844
