EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/17/2018	Date
TIME	LABEL	17:58:43	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.005	-4.49699E-005	1.05192E-006	0.00000E+000	-2.98023E-008	8.65159E-004	10	...........
	1	0.01	-5.86628E-004	7.85246E-007	0.00000E+000	-5.00023E-004	8.60159E-004	10	...........
	2	0.015	-9.64956E-004	7.51912E-007	0.00000E+000	-1.00002E-003	8.48493E-004	10	...........
	3	0.02	-1.53995E-003	7.51912E-007	0.00000E+000	-1.50001E-003	8.45160E-004	10	...........
	4	0.025	-2.04827E-003	1.05192E-006	0.00000E+000	-2.00000E-003	8.41826E-004	10	...........
	5	0.03	-2.48160E-003	9.18584E-007	0.00000E+000	-2.50003E-003	8.41826E-004	10	...........
	6	0.035	-3.05326E-003	4.18566E-007	0.00000E+000	-3.00002E-003	8.61826E-004	10	...........
	7	0.04	-3.49992E-003	4.51900E-007	0.00000E+000	-3.50001E-003	8.25160E-004	10	...........
	8	0.045	-4.00824E-003	1.85508E-008	0.00000E+000	-4.00001E-003	8.26826E-004	10	...........
	9	0.05	-4.57823E-003	-3.48129E-007	0.00000E+000	-4.50000E-003	8.78492E-004	10	...........
	10	0.055	-4.94823E-003	-2.48126E-007	0.00000E+000	-5.00003E-003	8.53493E-004	10	...........
	11	0.06	-5.48655E-003	2.51893E-007	0.00000E+000	-5.50002E-003	8.43493E-004	10	...........
	12	0.065	-6.03321E-003	8.52199E-008	0.00000E+000	-6.00001E-003	8.73492E-004	10	...........
	13	0.07	-6.46987E-003	3.51897E-007	0.00000E+000	-6.50001E-003	8.51826E-004	10	...........
	14	0.075	-7.02486E-003	6.85242E-007	0.00000E+000	-7.00003E-003	8.40160E-004	10	...........
	15	0.08	-7.49652E-003	3.85231E-007	0.00000E+000	-7.50002E-003	8.78492E-004	10	...........
	16	0.085	-8.02318E-003	4.85235E-007	0.00000E+000	-8.00002E-003	8.38493E-004	10	...........
	17	0.09	-8.58984E-003	5.51904E-007	0.00000E+000	-8.50001E-003	8.66826E-004	10	...........
	18	0.095	-8.91650E-003	5.51904E-007	0.00000E+000	-9.00000E-003	8.60159E-004	10	...........
	19	0.1	-9.57649E-003	1.85224E-007	0.00000E+000	-9.50003E-003	8.11827E-004	10	...........
	20	0.105	-1.01598E-002	2.51893E-007	0.00000E+000	-1.00000E-002	8.46826E-004	10	...........
	21	0.11	-1.04898E-002	2.18558E-007	0.00000E+000	-1.05000E-002	8.45160E-004	10	...........
	22	0.115	-1.10848E-002	3.85231E-007	0.00000E+000	-1.10000E-002	8.38493E-004	10	...........
	23	0.12	-1.15848E-002	5.18854E-008	0.00000E+000	-1.15000E-002	8.56826E-004	10	...........
	24	0.125	-1.20615E-002	-5.48137E-007	0.00000E+000	-1.20000E-002	8.33493E-004	10	...........
	25	0.13	-1.25498E-002	-2.48126E-007	0.00000E+000	-1.25000E-002	8.41826E-004	10	...........
	26	0.135	-1.29748E-002	2.51893E-007	0.00000E+000	-1.30000E-002	8.56826E-004	10	...........
	27	0.14	-1.34698E-002	2.85227E-007	0.00000E+000	-1.35000E-002	8.65159E-004	10	...........
	28	0.145	-1.39914E-002	-1.48122E-007	0.00000E+000	-1.40000E-002	8.48493E-004	10	...........
	29	0.15	-1.44631E-002	-8.14529E-008	0.00000E+000	-1.45000E-002	8.50159E-004	10	...........
	30	0.155	-1.49781E-002	1.18555E-007	0.00000E+000	-1.50000E-002	8.46826E-004	10	...........
	31	0.16	-1.54847E-002	1.85508E-008	0.00000E+000	-1.55000E-002	8.68493E-004	10	...........
	32	0.165	-1.59797E-002	-4.48133E-007	0.00000E+000	-1.60000E-002	8.91826E-004	10	...........
	33	0.17	-1.64997E-002	-5.14802E-007	0.00000E+000	-1.65000E-002	8.28493E-004	10	...........
	34	0.175	-1.69797E-002	-3.81464E-007	0.00000E+000	-1.70000E-002	8.56826E-004	10	...........
	35	0.18	-1.74797E-002	1.51889E-007	0.00000E+000	-1.75000E-002	8.50159E-004	10	...........
	36	0.185	-1.79930E-002	5.51904E-007	0.00000E+000	-1.80000E-002	8.68493E-004	10	...........
	37	0.19	-1.84597E-002	-8.14529E-008	0.00000E+000	-1.85000E-002	8.66826E-004	10	...........
	38	0.195	-1.90197E-002	4.18566E-007	0.00000E+000	-1.90000E-002	8.48493E-004	10	...........
	39	0.2	-1.94763E-002	4.51900E-007	0.00000E+000	-1.95000E-002	8.63493E-004	10	...........
	40	0.205	-1.99947E-002	-2.48126E-007	0.00000E+000	-2.00000E-002	8.41826E-004	10	...........
	41	0.21	-2.05380E-002	-2.48126E-007	0.00000E+000	-2.05000E-002	8.86826E-004	10	...........
	42	0.215	-2.09647E-002	7.85246E-007	0.00000E+000	-2.10000E-002	8.63493E-004	10	...........
	43	0.22	-2.14963E-002	5.85239E-007	0.00000E+000	-2.15000E-002	8.46826E-004	10	...........
	44	0.225	-2.20346E-002	-4.81185E-008	0.00000E+000	-2.20000E-002	8.61826E-004	10	...........
	45	0.23	-2.24746E-002	-3.81464E-007	0.00000E+000	-2.25000E-002	8.20160E-004	10	...........
	46	0.235	-2.30330E-002	5.18569E-007	0.00000E+000	-2.30000E-002	8.41826E-004	10	...........
	47	0.24	-2.34913E-002	-2.14791E-007	0.00000E+000	-2.35000E-002	8.53493E-004	10	...........
	48	0.245	-2.40146E-002	-1.14787E-007	0.00000E+000	-2.40000E-002	8.23493E-004	10	...........
	49	0.25	-2.45496E-002	7.18577E-007	0.00000E+000	-2.45000E-002	8.83492E-004	10	...........
	50	0.255	-2.49396E-002	-3.81464E-007	0.00000E+000	-2.50000E-002	8.70159E-004	10	...........
	51	0.26	-2.55346E-002	2.85227E-007	0.00000E+000	-2.55000E-002	8.50159E-004	10	...........
	52	0.265	-2.60312E-002	-3.14795E-007	0.00000E+000	-2.60000E-002	8.46826E-004	10	...........
	53	0.27	-2.64779E-002	8.52199E-008	0.00000E+000	-2.65000E-002	8.73492E-004	10	...........
	54	0.275	-2.70412E-002	-1.47836E-008	0.00000E+000	-2.70000E-002	8.51826E-004	10	...........
	55	0.28	-2.74629E-002	-2.48126E-007	0.00000E+000	-2.75000E-002	8.60159E-004	10	...........
	56	0.285	-2.79995E-002	-1.14787E-007	0.00000E+000	-2.80000E-002	8.30160E-004	10	...........
	57	0.29	-2.85745E-002	5.18854E-008	0.00000E+000	-2.85000E-002	8.40160E-004	10	...........
	58	0.295	-2.89395E-002	3.51897E-007	0.00000E+000	-2.90000E-002	8.31826E-004	10	...........
	59	0.3	-2.94929E-002	-1.48122E-007	0.00000E+000	-2.95000E-002	8.50159E-004	10	...........
	60	0.305	-3.00362E-002	3.85231E-007	0.00000E+000	-3.00000E-002	8.53493E-004	10	...........
	61	0.31	-3.04678E-002	1.51889E-007	0.00000E+000	-3.05000E-002	8.35160E-004	10	...........
	62	0.315	-3.09928E-002	1.51889E-007	0.00000E+000	-3.10000E-002	8.70159E-004	10	...........
	63	0.32	-3.14645E-002	4.18566E-007	0.00000E+000	-3.15000E-002	8.25160E-004	10	...........
	64	0.325	-3.19978E-002	4.85235E-007	0.00000E+000	-3.20000E-002	8.20160E-004	10	...........
	65	0.33	-3.25311E-002	2.51893E-007	0.00000E+000	-3.25000E-002	8.56826E-004	10	...........
	66	0.335	-3.29345E-002	8.18581E-007	0.00000E+000	-3.30000E-002	8.53493E-004	10	...........
	67	0.34	-3.35295E-002	7.18577E-007	0.00000E+000	-3.35000E-002	8.68493E-004	10	...........
	68	0.345	-3.40578E-002	2.18558E-007	0.00000E+000	-3.40000E-002	8.11827E-004	10	...........
	69	0.35	-3.44828E-002	2.51893E-007	0.00000E+000	-3.45000E-002	8.60159E-004	10	...........
	70	0.355	-3.50811E-002	4.51900E-007	0.00000E+000	-3.50000E-002	8.35160E-004	10	...........
	71	0.36	-3.55344E-002	6.18573E-007	0.00000E+000	-3.55000E-002	8.53493E-004	10	...........
	72	0.365	-3.60478E-002	4.51900E-007	0.00000E+000	-3.60000E-002	8.50159E-004	10	...........
	73	0.37	-3.66077E-002	-2.48126E-007	0.00000E+000	-3.65000E-002	8.40160E-004	10	...........
	74	0.375	-3.69727E-002	4.51900E-007	0.00000E+000	-3.70000E-002	8.50159E-004	10	...........
	75	0.38	-3.75427E-002	2.51893E-007	0.00000E+000	-3.75000E-002	8.76826E-004	10	...........
	76	0.385	-3.79611E-002	4.51900E-007	0.00000E+000	-3.80000E-002	8.55159E-004	10	...........
	77	0.39	-3.84494E-002	9.51919E-007	0.00000E+000	-3.85000E-002	8.25160E-004	10	...........
	78	0.395	-3.89827E-002	8.52199E-008	0.00000E+000	-3.90000E-002	8.38493E-004	10	...........
	79	0.4	-3.94260E-002	5.51904E-007	0.00000E+000	-3.95000E-002	8.73492E-004	10	...........
	80	0.405	-3.99727E-002	1.05192E-006	0.00000E+000	-4.00000E-002	8.60159E-004	10	...........
	81	0.41	-4.04644E-002	4.85235E-007	0.00000E+000	-4.05000E-002	8.48493E-004	10	...........
	82	0.415	-4.09393E-002	5.18854E-008	0.00000E+000	-4.10000E-002	8.48493E-004	10	...........
	83	0.42	-4.14643E-002	6.85242E-007	0.00000E+000	-4.15000E-002	8.50159E-004	10	...........
	84	0.425	-4.19577E-002	3.51897E-007	0.00000E+000	-4.20000E-002	8.46826E-004	10	...........
	85	0.43	-4.24243E-002	8.85250E-007	0.00000E+000	-4.25000E-002	8.33493E-004	10	...........
	86	0.435	-4.29960E-002	5.18569E-007	0.00000E+000	-4.30000E-002	8.65159E-004	10	...........
	87	0.44	-4.34293E-002	1.85224E-007	0.00000E+000	-4.35000E-002	8.16827E-004	10	...........
	88	0.445	-4.39593E-002	2.51893E-007	0.00000E+000	-4.40000E-002	8.28493E-004	10	...........
	89	0.45	-4.45376E-002	8.18581E-007	0.00000E+000	-4.45000E-002	8.61826E-004	10	...........
	90	0.455	-4.49326E-002	6.85242E-007	0.00000E+000	-4.50000E-002	8.41826E-004	10	...........
	91	0.46	-4.54443E-002	7.18577E-007	0.00000E+000	-4.55000E-002	8.51826E-004	10	...........
	92	0.465	-4.60259E-002	6.18573E-007	0.00000E+000	-4.60000E-002	8.50159E-004	10	...........
	93	0.47	-4.64593E-002	4.18566E-007	0.00000E+000	-4.65000E-002	8.50159E-004	10	...........
	94	0.475	-4.70026E-002	1.15193E-006	0.00000E+000	-4.70000E-002	8.53493E-004	10	...........
	95	0.48	-4.74842E-002	9.51919E-007	0.00000E+000	-4.75000E-002	8.30160E-004	10	...........
	96	0.485	-4.80242E-002	6.18573E-007	0.00000E+000	-4.80000E-002	8.23493E-004	10	...........
	97	0.49	-4.85126E-002	5.18569E-007	0.00000E+000	-4.85000E-002	8.66826E-004	10	...........
	98	0.495	-4.89242E-002	8.52199E-008	0.00000E+000	-4.90000E-002	8.51826E-004	10	...........
	99	0.5	-4.95159E-002	4.18566E-007	0.00000E+000	-4.95000E-002	8.00160E-004	10	...........
	100	0.505	-4.99942E-002	5.18569E-007	0.00000E+000	-5.00000E-002	8.75159E-004	10	...........
	101	0.51	-5.04492E-002	5.85239E-007	0.00000E+000	-5.05000E-002	8.35160E-004	10	...........
	102	0.515	-5.10842E-002	4.18566E-007	0.00000E+000	-5.10000E-002	8.60159E-004	10	...........
	103	0.52	-5.15359E-002	6.18573E-007	0.00000E+000	-5.15000E-002	8.70159E-004	10	...........
	104	0.525	-5.20142E-002	-1.14787E-007	0.00000E+000	-5.20000E-002	8.28493E-004	10	...........
	105	0.53	-5.25958E-002	5.18854E-008	0.00000E+000	-5.25000E-002	8.55159E-004	10	...........
	106	0.535	-5.29792E-002	4.18566E-007	0.00000E+000	-5.30000E-002	8.48493E-004	10	...........
	107	0.54	-5.35275E-002	3.85231E-007	0.00000E+000	-5.35000E-002	8.33493E-004	10	...........
	108	0.545	-5.40758E-002	8.51915E-007	0.00000E+000	-5.40000E-002	8.73492E-004	10	...........
	109	0.55	-5.44758E-002	7.85246E-007	0.00000E+000	-5.45000E-002	8.68493E-004	10	...........
	110	0.555	-5.50141E-002	4.85235E-007	0.00000E+000	-5.50000E-002	8.20160E-004	10	...........
	111	0.56	-5.54791E-002	5.18854E-008	0.00000E+000	-5.55000E-002	8.55159E-004	10	...........
	112	0.565	-5.60158E-002	3.18562E-007	0.00000E+000	-5.60000E-002	8.70159E-004	10	...........
	113	0.57	-5.65724E-002	-8.14529E-008	0.00000E+000	-5.65000E-002	8.46826E-004	10	...........
	114	0.575	-5.69691E-002	-2.81460E-007	0.00000E+000	-5.70000E-002	8.78492E-004	10	...........
	115	0.58	-5.75124E-002	3.18562E-007	0.00000E+000	-5.75000E-002	8.68493E-004	10	...........
	116	0.585	-5.80724E-002	5.85239E-007	0.00000E+000	-5.80000E-002	8.11827E-004	10	...........
	117	0.59	-5.84557E-002	4.51900E-007	0.00000E+000	-5.85000E-002	8.83492E-004	10	...........
	118	0.595	-5.90407E-002	4.18566E-007	0.00000E+000	-5.90000E-002	8.46826E-004	10	...........
	119	0.6	-5.95191E-002	6.85242E-007	0.00000E+000	-5.95000E-002	8.50159E-004	10	...........
