EXPLAIN
TAG	CV
TITLE	LABEL	Cyclic Voltammetry	Test &Identifier
DATE	LABEL	10/17/2018	Date
TIME	LABEL	18:11:37	Time
NOTES	NOTES	1	&Notes...
	
PSTAT	PSTAT	REF600-21050	Potentiostat
VINIT	POTEN	0.00000E+000	F	Initial &E (V)
VLIMIT1	POTEN	-8.00000E-001	F	Scan Limit &1 (V)
VLIMIT2	POTEN	0.00000E+000	F	Scan Limit &2 (V)
VFINAL	POTEN	0.00000E+000	F	Final &E (V)
SCANRATE	QUANT	9.99998E+001	&Scan Rate (mV/s)
STEPSIZE	QUANT	5.00000E-001	St&ep Size (mV)
CYCLES	IQUANT	1	C&ycles (#)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	1.00000E+001	&Max Current (mA)
AREA	QUANT	1.00000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	1	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	1.00000E+001	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	3.32000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	4	Pstat Model
PSTATSECTION	LABEL	REF600-21050	Pstat Section
PSTATSERIALNO	LABEL	21050	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	2	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	2	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	1	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	10	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	8/29/2018	DC Calibration Date
ACCALDATE	LABEL	8/29/2018	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.32	Framework Version
INSTRUMENTVERSION	LABEL	3.50	Instrument Version
CURVE1	TABLE
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over
	#	s	V vs. Ref.	A	V	V	V	#	bits
	0	0.005	3.36270E-006	-2.18153E-006	0.00000E+000	-2.98023E-008	7.66827E-004	10	...........
	1	0.01	-5.61629E-004	-1.88152E-006	0.00000E+000	-5.00023E-004	8.05160E-004	10	...........
	2	0.015	-9.49956E-004	-2.11486E-006	0.00000E+000	-1.00002E-003	7.70161E-004	10	...........
	3	0.02	-1.50661E-003	-2.34820E-006	0.00000E+000	-1.50001E-003	7.81827E-004	10	...........
	4	0.025	-2.05994E-003	-1.78152E-006	0.00000E+000	-2.00000E-003	8.10160E-004	10	...........
	5	0.03	-2.47493E-003	-2.44821E-006	0.00000E+000	-2.50003E-003	7.85160E-004	10	...........
	6	0.035	-3.06492E-003	-2.04819E-006	0.00000E+000	-3.00002E-003	7.96827E-004	10	...........
	7	0.04	-3.47992E-003	-2.08153E-006	0.00000E+000	-3.50001E-003	8.00160E-004	10	...........
	8	0.045	-3.98658E-003	-2.04819E-006	0.00000E+000	-4.00001E-003	7.88494E-004	10	...........
	9	0.05	-4.60657E-003	-2.44821E-006	0.00000E+000	-4.50000E-003	8.08493E-004	10	...........
	10	0.055	-4.92656E-003	-2.04819E-006	0.00000E+000	-5.00003E-003	7.91827E-004	10	...........
	11	0.06	-5.47155E-003	-1.61484E-006	0.00000E+000	-5.50002E-003	8.01827E-004	10	...........
	12	0.065	-6.04488E-003	-1.81485E-006	0.00000E+000	-6.00001E-003	7.73494E-004	10	...........
	13	0.07	-6.46321E-003	-2.14820E-006	0.00000E+000	-6.50001E-003	7.90160E-004	10	...........
	14	0.075	-7.01986E-003	-2.18153E-006	0.00000E+000	-7.00003E-003	7.93494E-004	10	...........
	15	0.08	-7.43319E-003	-1.78152E-006	0.00000E+000	-7.50002E-003	8.03493E-004	10	...........
	16	0.085	-7.97652E-003	-2.71488E-006	0.00000E+000	-8.00002E-003	7.93494E-004	10	...........
	17	0.09	-8.59817E-003	-2.48154E-006	0.00000E+000	-8.50001E-003	7.98494E-004	10	...........
	18	0.095	-8.90150E-003	-2.11486E-006	0.00000E+000	-9.00000E-003	7.95160E-004	10	...........
	19	0.1	-9.52983E-003	-2.44821E-006	0.00000E+000	-9.50003E-003	7.91827E-004	10	...........
	20	0.105	-1.02048E-002	-2.14820E-006	0.00000E+000	-1.00000E-002	7.95160E-004	10	...........
	21	0.11	-1.04915E-002	-3.11490E-006	0.00000E+000	-1.05000E-002	7.81827E-004	10	...........
	22	0.115	-1.10615E-002	-2.64822E-006	0.00000E+000	-1.10000E-002	8.16827E-004	10	...........
	23	0.12	-1.17031E-002	-2.14820E-006	0.00000E+000	-1.15000E-002	7.96827E-004	10	...........
	24	0.125	-1.20298E-002	-2.08153E-006	0.00000E+000	-1.20000E-002	8.11827E-004	10	...........
	25	0.13	-1.25348E-002	-2.94823E-006	0.00000E+000	-1.25000E-002	7.85160E-004	10	...........
	26	0.135	-1.29664E-002	-2.54821E-006	0.00000E+000	-1.30000E-002	7.88494E-004	10	...........
	27	0.14	-1.34364E-002	-2.38154E-006	0.00000E+000	-1.35000E-002	7.93494E-004	10	...........
	28	0.145	-1.39731E-002	-2.51488E-006	0.00000E+000	-1.40000E-002	7.98494E-004	10	...........
